# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA eigen3_xA eigen3_yA eigen3_zA# lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB eigen3_xB eigen3_yB eigen3_zB 
# 46
0.588205 0.517294 0.093683 -0.429678 -0.233802 0.872189 0.727485 0.482563 0.487748 0.605580 0.475931 0.069807 -0.474390 -0.246708 0.845038 0.725627 0.433906 0.534033 
0.348944 0.119604 -0.008230 0.495859 0.789174 0.362393 -0.588879 -0.001132 0.808221 0.414279 0.206093 0.041566 0.704373 0.606944 0.368072 -0.242347 -0.281751 0.928378 
0.767348 0.457487 0.067244 0.225188 -0.522562 0.822326 0.630824 0.721417 0.285691 0.767348 0.457487 0.067244 0.225188 -0.522562 0.822326 0.630824 0.721417 0.285691 
0.709642 0.360602 0.015004 -0.360581 0.917317 0.168848 0.776340 0.194827 0.599449 0.709642 0.360602 0.015004 -0.360581 0.917317 0.168848 0.776340 0.194827 0.599449 
0.623257 0.206094 -0.088533 -0.784422 -0.202118 0.586371 0.571848 0.130378 0.809933 0.560288 0.080999 -0.101307 -0.832094 -0.057864 0.551607 0.519323 -0.430476 0.738237 
0.494019 0.221097 -0.045677 -0.928125 -0.192437 0.318672 0.351662 -0.734073 0.580922 0.494019 0.221097 -0.045677 -0.928125 -0.192437 0.318672 0.351662 -0.734073 0.580922 
1.176085 0.852323 0.195371 -0.295545 0.166173 0.940765 -0.319669 -0.945191 0.066530 1.176085 0.852323 0.195371 -0.295545 0.166173 0.940765 -0.319669 -0.945191 0.066530 
0.539665 0.297721 0.056461 -0.358114 -0.807112 0.469387 0.566009 0.212155 0.796633 0.476737 0.321946 0.069846 -0.381479 -0.802729 0.458366 0.587164 0.172554 0.790863 
0.510317 0.333267 0.000056 -0.619552 -0.620278 0.481052 0.618590 -0.008548 0.785667 0.596853 0.359593 0.072879 -0.452298 -0.736478 0.503018 0.714488 0.038351 0.698596 
0.593792 0.346591 -0.095536 -0.168636 0.973298 0.155735 0.765802 0.029899 0.642381 0.578598 0.292561 -0.088220 0.076435 -0.996947 0.015934 0.808901 0.071345 0.583600 
0.329879 0.182183 -0.135527 0.189770 -0.223597 0.956029 -0.939051 0.242954 0.243222 0.368123 0.255831 -0.108506 0.066881 -0.610218 0.789405 -0.976438 0.122663 0.177546 
0.457294 0.428178 -0.414555 0.010454 -0.751618 0.659516 0.640509 0.511517 0.572798 0.469244 0.443742 -0.387513 0.507854 -0.823866 0.251653 0.654023 0.558881 0.509809 
0.764828 0.211578 -0.385185 0.026812 -0.579887 0.814255 -0.264054 0.781509 0.565261 0.754394 0.198426 -0.445009 0.042556 -0.498870 0.865631 0.034155 0.866636 0.497770 
0.690494 0.281797 0.077449 0.282014 -0.874690 0.394190 0.357270 0.477061 0.802977 0.690494 0.281797 0.077449 0.282014 -0.874690 0.394190 0.357270 0.477061 0.802977 
