#x1 y1 z1 m1 x2 y2 z2 m2 nx ny nz disp1 disp2
          46
  92.381 159.782  23.944  2.4404e+11  92.687 159.522  24.165  1.3431e+12   0.038  -0.070  -0.136   0.387   0.341
  94.440  27.581 172.011  1.1518e+11  94.614  27.868 172.169  1.1278e+12  -0.157   0.141  -0.082   0.179   0.151
  95.825  98.837  44.411  1.9687e+12  95.974  98.653  44.827  6.2751e+11  -0.252   0.101   0.135   0.078   0.086
 102.230  29.471 112.239  5.1735e+11 102.457  29.773 112.182  1.9056e+12  -0.019  -0.041  -0.291   0.292   0.254
 106.741  86.584 220.292  1.1703e+12 106.697  86.527 219.884  1.7571e+12   0.125   0.081  -0.025   0.109   0.153
 110.476 153.789 157.948  1.3629e+12 110.446 153.937 158.391  2.3252e+11   0.159  -0.016   0.016   0.099   0.169
 114.131  23.409 109.501  1.9127e+12 113.800  23.397 109.883  1.3951e+12   0.153   0.092   0.135   0.055   0.035
 117.058 181.521  30.972  5.4960e+11 116.888 181.174  30.878  2.1382e+11   0.355  -0.129  -0.163   0.279   0.213
 122.654 152.048  59.477  1.0976e+12 122.588 151.732  59.790  1.6814e+12   0.037  -0.227  -0.221   0.195   0.168
 136.396 205.509   3.042  2.6118e+12 136.406 205.137   2.648  2.8903e+11  -0.286   0.025  -0.030   0.045   0.065
 139.872 164.083 192.490  2.3760e+12 140.195 163.969 192.851  2.2466e+11   0.398   0.005  -0.356   0.135   0.117
 145.609 125.873  66.792  1.3217e+12 146.024 126.158  66.958  9.8185e+11   0.277  -0.326  -0.131   0.006   0.025
 146.024 126.158  66.958  9.8185e+11 145.609 125.873  66.792  1.3217e+12   0.277  -0.326  -0.131   0.110   0.045
 146.536  36.392  19.171  1.0691e+11 146.275  36.679  19.441  1.3732e+12   0.034   0.004   0.029   0.255   0.167
 155.753 122.394 170.997  1.2283e+12 155.564 122.832 171.080  5.0840e+11   0.023   0.041  -0.163   0.049   0.055
 165.157  69.421 158.595  5.1843e+11 165.462  69.492 158.301  1.4348e+12  -0.041   0.086  -0.021   0.187   0.133
