# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA eigen2_xA eigen2_yA eigen2_zA eigen3_xA eigen3_yA eigen3_zA lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB eigen2_xB eigen2_yB eigen2_zB eigen3_xB eigen3_yB eigen3_zB 
# 120
0.840947 0.257246 -0.038250 -0.375246 -0.046214 0.925772 0.782862 -0.550566 0.289836 0.496304 0.833511 0.242777 0.840947 0.257246 -0.038250 -0.375246 -0.046214 0.925772 0.782862 -0.550566 0.289836 0.496304 0.833511 0.242777 
0.839183 0.375640 -0.297727 -0.185318 -0.759904 0.623060 -0.313399 0.646636 0.695444 0.931364 0.066388 0.357986 0.839183 0.375640 -0.297727 -0.185318 -0.759904 0.623060 -0.313399 0.646636 0.695444 0.931364 0.066388 0.357986 
0.840947 0.257246 -0.038250 -0.375246 -0.046214 0.925772 0.782862 -0.550566 0.289836 0.496304 0.833511 0.242777 0.840947 0.257246 -0.038250 -0.375246 -0.046214 0.925772 0.782862 -0.550566 0.289836 0.496304 0.833511 0.242777 
0.656566 0.322244 -0.172693 0.132132 -0.467435 0.874097 -0.632044 0.639576 0.437564 0.763584 0.610284 0.210931 0.799876 0.340936 -0.176720 0.073484 -0.522216 0.849642 -0.657004 0.615596 0.435187 0.750298 0.590197 0.297861 
0.912526 0.311013 0.118569 0.319413 -0.909895 0.264701 -0.947453 -0.301468 0.107007 0.017566 0.284971 0.958375 0.912526 0.311013 0.118569 0.319413 -0.909895 0.264701 -0.947453 -0.301468 0.107007 0.017566 0.284971 0.958375 
0.780936 0.419667 0.019528 -0.004488 -0.688333 0.725381 0.150432 0.716669 0.680997 -0.988610 0.112176 0.100331 0.790766 0.490605 0.045842 0.043884 -0.550348 0.833781 0.054987 0.834651 0.548028 -0.997522 0.021797 0.066889 
0.790766 0.490605 0.045842 0.043884 -0.550348 0.833781 0.054987 0.834651 0.548028 -0.997522 0.021797 0.066889 0.780936 0.419667 0.019528 -0.004488 -0.688333 0.725381 0.150432 0.716669 0.680997 -0.988610 0.112176 0.100331 
0.668785 0.082667 -0.129534 0.121516 -0.956340 0.265798 -0.602795 0.141645 0.785222 0.788588 0.255638 0.559265 0.625283 0.090764 -0.124918 0.239193 -0.928126 0.285251 -0.736874 0.017795 0.675796 0.632300 0.371840 0.679656 
0.951639 0.623155 -0.059134 -0.750395 -0.273583 0.601714 0.422072 -0.898894 0.117662 0.508687 0.342259 0.789998 0.824180 0.420716 -0.140621 -0.773437 -0.268564 0.574168 0.434649 -0.884022 0.172001 0.461384 0.382593 0.800467 
1.016081 0.475640 0.006335 -0.697036 -0.675531 0.240415 0.547705 -0.285212 0.786558 -0.462775 0.679936 0.568794 1.039902 0.497559 0.156216 -0.652067 -0.749714 0.112859 0.581161 -0.398670 0.709446 -0.486888 0.528196 0.695664 
1.187326 0.861742 0.602362 -0.384842 0.608355 0.694119 0.253239 -0.653583 0.713232 0.887562 0.450259 0.097467 1.187326 0.861742 0.602362 -0.384842 0.608355 0.694119 0.253239 -0.653583 0.713232 0.887562 0.450259 0.097467 
0.962128 0.550680 0.035690 -0.381686 -0.418949 0.823891 -0.523295 0.832707 0.181004 0.761891 0.362051 0.537067 0.810997 0.459795 0.032419 -0.555167 -0.251810 0.792705 -0.361157 0.931514 0.042970 0.749236 0.262436 0.608089 
0.952459 0.317010 -0.240710 0.380057 -0.275235 0.883064 -0.391796 0.816922 0.423242 -0.837886 -0.506837 0.202641 0.615653 0.357176 -0.172922 0.447716 -0.239242 0.861576 -0.192341 0.915219 0.354088 -0.873244 -0.324247 0.363742 
0.517711 0.200422 0.141818 -0.693903 0.542604 0.473370 0.289930 -0.391215 0.873437 0.659120 0.743325 0.114148 0.566716 0.186661 0.018870 -0.638082 0.653098 0.407816 0.169473 -0.397536 0.901800 0.751086 0.644536 0.142978 
0.993506 0.158785 0.079439 -0.700415 0.423957 0.574177 0.698282 0.573532 0.428326 0.147718 -0.700943 0.697752 0.993506 0.158785 0.079439 -0.700415 0.423957 0.574177 0.698282 0.573532 0.428326 0.147718 -0.700943 0.697752 
0.859128 0.215076 0.074765 0.719563 -0.445159 0.532976 -0.314210 0.475731 0.821555 -0.619276 -0.758626 0.202445 0.859128 0.215076 0.074765 0.719563 -0.445159 0.532976 -0.314210 0.475731 0.821555 -0.619276 -0.758626 0.202445 
0.708376 0.436078 0.289204 -0.746968 0.022541 0.664478 0.370040 0.844419 0.387333 0.552367 -0.535209 0.639095 0.800124 0.371315 0.260294 -0.795237 -0.048797 0.604332 0.363475 0.759411 0.539612 0.485268 -0.648779 0.586175 
0.800124 0.371315 0.260294 -0.795237 -0.048797 0.604332 0.363475 0.759411 0.539612 0.485268 -0.648779 0.586175 0.708376 0.436078 0.289204 -0.746968 0.022541 0.664478 0.370040 0.844419 0.387333 0.552367 -0.535209 0.639095 
0.564162 0.139200 -0.033013 -0.792195 -0.309605 0.525901 0.603597 -0.524579 0.600406 0.089988 0.793071 0.602445 0.564162 0.139200 -0.033013 -0.792195 -0.309605 0.525901 0.603597 -0.524579 0.600406 0.089988 0.793071 0.602445 
0.723395 0.285405 -0.088415 -0.156217 0.336695 0.928565 0.165430 -0.917908 0.360662 0.973771 0.209954 0.087694 0.659002 0.181632 0.021231 -0.161489 0.347706 0.923592 -0.087407 -0.937237 0.337560 0.982996 -0.026216 0.181746 
0.184458 0.163844 -0.000693 -0.663542 0.424238 0.616226 0.341825 -0.560760 0.754124 0.665483 0.711035 0.227072 0.184458 0.163844 -0.000693 -0.663542 0.424238 0.616226 0.341825 -0.560760 0.754124 0.665483 0.711035 0.227072 
0.872184 0.714263 0.369074 0.903958 -0.091230 0.417776 -0.424274 -0.069339 0.902875 0.053401 0.993413 0.101386 0.872184 0.714263 0.369074 0.903958 -0.091230 0.417776 -0.424274 -0.069339 0.902875 0.053401 0.993413 0.101386 
