#x1 y1 z1 m1 x2 y2 z2 m2 nx ny nz disp1 disp2 sigmah ecc
#         206
  69.832  89.599 194.021  1.0444e+12  69.567  89.325 193.887  3.5610e+11  -0.031   0.189  -0.328   0.165   0.171   50.1  0.910
  70.184  28.922  73.237  1.1865e+12  70.226  29.058  73.692  2.4214e+11  -0.199   0.194  -0.040   0.043   0.027   62.5  0.958
  71.386  81.811  93.030  1.4409e+12  71.566  81.941  93.367  5.8740e+11  -0.001  -0.321   0.124   0.390   0.482   52.3  0.806
  71.932 249.430  33.748  1.4370e+12  72.218 249.479  34.167  2.3604e+11   0.159   0.173  -0.128   0.085   0.115   57.4  0.827
  72.018 161.182 154.407  4.7290e+11  72.374 161.109 154.352  2.5539e+12  -0.045   0.027  -0.330   0.199   0.094   43.6  0.953
  72.374 161.109 154.352  2.5539e+12  72.018 161.182 154.407  4.7290e+11  -0.045   0.027  -0.330   0.130   0.253   56.1  0.931
  72.897 185.675 124.848  2.5054e+11  72.978 185.772 125.154  8.7534e+11  -0.185   0.151   0.001   0.142   0.222   43.7  0.993
  73.491 242.517 214.160  1.1675e+12  73.316 242.461 213.735  4.3781e+11   0.220  -0.485  -0.026   0.093   0.069   56.5  0.986
  73.565  10.843  66.473  2.3726e+11  73.351  10.787  66.591  1.6088e+12  -0.074   0.012  -0.128   0.239   0.160    0.0  0.973
  75.540  92.663 191.797  8.8036e+11  75.252  92.935 192.053  2.0909e+12  -0.030  -0.120   0.093   0.238   0.193   67.4  0.974
  78.937 152.907 232.319  1.2417e+12  78.601 152.712 232.378  3.0320e+12   0.170  -0.274   0.065   0.531   0.374   51.3  0.968
  81.926  98.335  55.487  1.3088e+12  82.173  98.543  55.717  1.8220e+12   0.136  -0.102  -0.054   0.278   0.400   52.7  0.899
  84.455  88.991 138.102  2.1512e+12  84.044  89.042 138.355  1.1206e+11   0.023  -0.275   0.092   0.000   0.000   58.6  0.922
  85.296 179.729 192.065  1.1823e+12  85.497 179.337 192.413  5.4458e+11   0.243   0.163   0.044   0.153   0.182   65.9  0.935
  85.387 207.325  34.851  3.1477e+11  85.375 207.706  35.202  8.0840e+11  -0.275   0.219  -0.247   0.316   0.285   37.0  0.983
  86.438  38.382  28.322  7.7182e+11  86.836  38.570  28.771  1.6210e+12   0.006   0.151  -0.068   0.000   0.000    0.0  0.969
  86.674 192.470 244.037  8.1166e+10  86.671 192.630 243.730  1.9546e+12  -0.068   0.057   0.030   0.276   0.225   56.8  0.976
  87.120  79.688 127.666  1.2669e+11  87.381  79.838 127.768  1.2033e+12  -0.136   0.136   0.149   0.205   0.139    0.0  0.916
