#x1 y1 z1 m1 x2 y2 z2 m2 nx ny nz disp1 disp2 sigmah ecc
#         206
 231.964  65.137  84.826  4.8591e+11 232.147  64.915  84.548  3.0674e+12   0.190   0.222  -0.052   0.162   0.178   62.4  0.903
 232.528 203.511 146.829  3.1436e+11 232.959 203.230 146.909  3.3568e+12   0.190   0.312   0.071   0.116   0.078   56.9  0.950
 233.635  66.688 210.215  6.4770e+11 233.479  66.277 210.317  5.4336e+11  -0.086  -0.025  -0.233   0.139   0.188   42.9  0.995
 233.982 156.392  92.303  4.5488e+11 234.246 156.151  92.257  9.4336e+11  -0.414  -0.411  -0.230   0.120   0.029    0.0  0.981
 240.232  79.031 143.085  2.8604e+11 240.531  78.919 143.360  1.3207e+12   0.122  -0.030  -0.145   0.142   0.127   40.7  0.931
 240.896  54.290  77.111  5.7886e+11 240.613  53.961  76.931  7.0393e+11   0.130   0.006  -0.216   0.000   0.000   68.8  0.934
 241.740 160.299  31.545  4.6884e+11 241.656 159.967  31.948  8.1979e+11  -0.321  -0.092  -0.142   0.141   0.095   41.7  0.899
 243.790 160.319  53.945  3.9187e+11 244.026 159.992  53.995  6.9092e+11   0.342   0.271   0.157   0.255   0.158   60.8  0.920
 243.902 199.849   4.369  3.7099e+12 243.770 199.598   4.797  6.2832e+11   0.102   0.110   0.096   0.000   0.000   52.2  0.978
 245.007 219.809 181.338  7.4255e+11 244.871 220.094 181.650  5.8266e+11  -0.087  -0.054   0.012   0.153   0.181   48.4  0.853
 245.343 123.028  55.460  1.2866e+12 244.788 123.018  55.711  1.4052e+11  -0.086  -0.427  -0.207   0.042   0.047   67.8  0.881
