# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA eigen2_xA eigen2_yA eigen2_zA eigen3_xA eigen3_yA eigen3_zA lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB eigen2_xB eigen2_yB eigen2_zB eigen3_xB eigen3_yB eigen3_zB 
# 206
0.936941 0.165363 0.018518 0.212123 -0.615350 0.759176 0.700272 0.637574 0.321121 -0.681633 0.463512 0.566157 0.937600 0.153498 -0.066795 0.210180 -0.560184 0.801260 0.502315 0.764995 0.403067 -0.838751 0.317769 0.442175 
0.612970 0.306026 0.041621 -0.076412 -0.983842 0.161915 -0.379990 0.178869 0.907532 0.921829 -0.007820 0.387517 0.612970 0.306026 0.041621 -0.076412 -0.983842 0.161915 -0.379990 0.178869 0.907532 0.921829 -0.007820 0.387517 
0.690527 0.505096 -0.082478 -0.098115 0.677338 0.729100 -0.251016 -0.725790 0.640484 0.962998 -0.120175 0.241233 0.690527 0.505096 -0.082478 -0.098115 0.677338 0.729100 -0.251016 -0.725790 0.640484 0.962998 -0.120175 0.241233 
1.009439 0.281144 -0.109417 -0.937621 0.325594 0.121882 0.344318 0.821186 0.455082 -0.048084 -0.468660 0.882069 1.009439 0.281144 -0.109417 -0.937621 0.325594 0.121882 0.344318 0.821186 0.455082 -0.048084 -0.468660 0.882069 
0.945397 0.774001 0.125341 -0.515827 0.003228 0.856687 0.358434 -0.907446 0.219239 0.778105 0.420156 0.466928 0.945397 0.774001 0.125341 -0.515827 0.003228 0.856687 0.358434 -0.907446 0.219239 0.778105 0.420156 0.466928 
2.217131 0.306290 -0.355117 0.664031 -0.173488 0.727299 -0.747702 -0.151650 0.646485 0.001863 0.973090 0.230418 2.217131 0.306290 -0.355117 0.664031 -0.173488 0.727299 -0.747702 -0.151650 0.646485 0.001863 0.973090 0.230418 
0.522041 0.290106 -0.007255 0.091470 -0.797841 0.595888 0.497160 0.555073 0.666878 -0.862824 0.235252 0.447428 0.522041 0.290106 -0.007255 0.091470 -0.797841 0.595888 0.497160 0.555073 0.666878 -0.862824 0.235252 0.447428 
1.278507 0.308148 -0.189483 -0.423037 0.551626 0.718852 0.004097 -0.792164 0.610294 0.906103 0.261122 0.332855 1.278507 0.308148 -0.189483 -0.423037 0.551626 0.718852 0.004097 -0.792164 0.610294 0.906103 0.261122 0.332855 
0.691618 0.311634 0.229902 0.839148 -0.397528 0.371218 -0.306538 0.218130 0.926528 -0.449294 -0.891286 0.061185 0.691618 0.311634 0.229902 0.839148 -0.397528 0.371218 -0.306538 0.218130 0.926528 -0.449294 -0.891286 0.061185 
0.612501 0.306661 -0.042876 -0.068410 -0.709876 0.700996 -0.634355 0.573262 0.518618 0.770009 0.409202 0.489530 0.737239 0.519049 -0.015214 -0.080928 -0.709304 0.700241 -0.688727 0.547638 0.475129 0.720490 0.443824 0.532836 
0.369357 0.038662 -0.133060 0.387416 -0.196796 0.900655 0.364176 0.930164 0.046594 -0.846927 0.309946 0.432029 0.330935 0.069144 -0.146502 0.472083 -0.015170 0.881423 -0.157112 -0.985292 0.067191 -0.867441 0.170202 0.467523 
0.924210 0.166534 -0.165213 -0.731191 0.404740 0.549132 -0.417049 -0.902242 0.109685 0.539843 -0.148814 0.828507 0.908586 0.210138 -0.222290 -0.788977 0.283525 0.545095 0.416240 0.899214 0.134754 0.451951 -0.333208 0.827474 
1.068846 0.198312 -0.077723 -0.823810 0.058047 0.563886 0.159484 -0.930829 0.328820 0.543969 0.360816 0.757568 1.068846 0.198312 -0.077723 -0.823810 0.058047 0.563886 0.159484 -0.930829 0.328820 0.543969 0.360816 0.757568 
0.707360 0.048645 -0.042886 -0.099470 -0.915321 0.390247 0.984622 -0.033937 0.171372 -0.143617 0.401292 0.904621 0.731500 0.026506 -0.049095 -0.173235 -0.907823 0.381898 -0.756129 0.371057 0.539060 0.631078 0.195380 0.750711 
0.526343 0.193001 -0.185389 -0.165014 -0.976694 0.137259 -0.922524 0.202071 0.328811 0.348884 0.072366 0.934368 0.526343 0.193001 -0.185389 -0.165014 -0.976694 0.137259 -0.922524 0.202071 0.328811 0.348884 0.072366 0.934368 
