# eigen3_x eigen3_y eigen3_z x1 y1 z1 x2 y2 z2 nx ny nz
0.594926 -0.330624 0.732633 12.843000 167.204000 172.015000 12.502000 167.391000 171.530000 0.062000 0.008000 -0.041000
0.770009 0.409202 0.489530 13.668000 183.669000 231.548000 13.971000 183.896000 231.568000 -0.246000 0.321000 0.089000
0.480209 0.868718 0.121361 14.326000 165.617000 21.735000 14.494000 166.060000 22.034000 0.069000 -0.048000 0.033000
0.705573 0.075692 0.704583 14.923000 88.264000 105.021000 15.226000 88.177000 105.230000 0.329000 0.336000 -0.337000
0.342146 0.634592 0.692986 15.152000 104.725000 75.869000 14.889000 104.232000 75.381000 0.531000 -0.347000 0.064000
0.351806 0.625164 0.696708 15.174000 135.387000 77.691000 15.341000 135.742000 78.279000 0.315000 -0.132000 -0.010000
0.501460 0.380439 0.777048 15.444000 218.357000 143.267000 15.743000 218.662000 143.764000 0.266000 -0.072000 -0.115000
0.304900 -0.134818 0.942794 15.544000 172.361000 153.833000 15.289000 172.476000 153.108000 -0.314000 0.348000 0.165000
0.297619 -0.713868 0.633889 15.624000 213.494000 70.950000 15.672000 213.277000 71.301000 0.355000 0.125000 0.029000
-0.571718 0.800869 0.178177 15.642000 20.816000 114.806000 15.969000 20.319000 114.650000 0.513000 0.261000 0.240000
0.792568 0.544454 0.274601 15.653000 132.621000 62.845000 16.390000 132.916000 62.629000 -0.296000 0.625000 -0.154000
-0.063962 0.736026 0.673925 15.662000 216.562000 122.565000 15.611000 217.095000 123.025000 -0.836000 -0.180000 0.117000
-0.920695 -0.086234 0.380636 15.884000 193.569000 194.087000 15.250000 193.535000 194.294000 0.073000 0.397000 0.288000
-0.358695 0.662617 0.657477 16.463000 166.143000 140.401000 16.642000 165.862000 140.122000 -0.079000 0.131000 -0.182000
0.816144 -0.378647 0.436503 16.780000 218.478000 49.216000 17.143000 218.293000 49.507000 0.245000 0.728000 0.159000
0.820275 0.563216 0.099684 16.792000 67.568000 229.641000 16.443000 67.452000 229.602000 -0.031000 -0.133000 0.666000
0.611360 0.744974 0.266932 17.448000 142.792000 1.330000 17.864000 142.663000 1.221000 -0.098000 0.217000 -0.629000
0.611870 0.751489 0.246738 17.864000 142.663000 1.221000 17.448000 142.792000 1.330000 -0.098000 0.217000 -0.629000
0.816760 0.576606 0.020693 18.444000 55.816000 192.235000 18.824000 56.009000 192.227000 0.050000 -0.058000 0.961000
-0.934573 -0.231075 0.270513 19.050000 11.260000 62.184000 17.517000 10.832000 62.569000 0.035000 0.137000 0.290000
-0.985931 -0.165774 0.021427 19.058000 86.438000 229.105000 18.829000 85.908000 229.057000 0.011000 0.027000 -0.357000
