#x1 y1 z1 m1 x2 y2 z2 m2 nx ny nz disp1 disp2
#        5520
  25.439 230.970  39.169  1.7168e+11  25.665 230.767  39.379  1.6165e+11   0.082  -0.010  -0.097   0.222   0.266
  25.471 134.719  45.660  1.3949e+12  25.662 135.110  45.759  5.9296e+11   0.141  -0.081   0.048   0.317   0.335
  25.538 155.677  95.854  1.9736e+12  25.608 156.126  96.548  1.4014e+12  -0.433   0.547  -0.310   0.474   0.512
  25.538 243.310 222.887  4.5840e+11  26.082 243.513 223.119  1.5583e+11  -0.007   0.379  -0.315   0.003   0.010
  25.583 138.696   3.067  3.1787e+12  25.212 138.685   2.940  1.1243e+12  -0.064  -0.295   0.213   0.071   0.073
  25.625 137.894 172.373  2.4306e+12  25.341 137.297 172.493  1.5087e+12  -0.067   0.162   0.650   0.423   0.336
  25.632 185.882 240.401  5.0705e+11  25.493 186.165 240.637  1.3808e+11  -0.161   0.142  -0.265   0.069   0.059
  25.662 135.110  45.759  5.9296e+11  25.471 134.719  45.660  1.3949e+12   0.141  -0.081   0.048   0.170   0.161
  25.665 230.767  39.379  1.6165e+11  25.439 230.970  39.169  1.7168e+11   0.082  -0.010  -0.097   0.201   0.171
  25.666 191.830 181.862  1.1897e+11  25.295 191.908 182.014  3.1802e+11   0.120  -0.142   0.366   0.105   0.083
  25.745  24.926 107.305  4.9119e+11  25.940  25.158 107.598  3.7300e+12   0.066  -0.376   0.253   0.096   0.030
  25.800  53.775 150.442  2.3320e+11  26.090  53.671 151.005  2.3686e+11  -0.258  -0.724   0.000   0.137   0.143
  25.817 119.703 245.210  1.5603e+12  25.365 119.744 245.937  1.3457e+12  -0.463   0.113  -0.294   0.000   0.000
  25.824 197.897  36.987  4.6884e+11  25.242 198.242  36.825  1.3297e+12  -0.245  -0.657  -0.517   0.199   0.206
  25.896  71.317  22.781  7.9418e+11  26.287  71.073  23.049  2.2642e+11  -0.209  -0.287   0.043   0.000   0.000
  25.919 241.443 136.582  1.4458e+11  25.640 241.458 136.271  4.5800e+10  -0.156  -0.983   0.094   0.127   0.074
  25.940  25.158 107.598  3.7300e+12  25.745  24.926 107.305  4.9119e+11   0.066  -0.376   0.253   0.075   0.231
  26.110 224.088  11.629  1.7392e+12  26.217 223.734  11.744  1.3131e+12   0.595   0.048  -0.409   0.198   0.268
  26.170 183.432 123.863  6.8007e+12  26.526 183.359 124.569  1.7455e+13  -0.341  -0.376   0.133   0.090   0.090
  26.305 145.344 162.465  5.2954e+11  26.658 145.949 162.181  6.1484e+12  -0.376   0.114  -0.224   0.986   0.448
  26.364  69.097 193.387  1.6403e+12  26.423  68.744 193.389  2.0146e+13  -0.598  -0.102  -0.777   0.939   0.276
  26.406 226.388  53.905  9.4973e+11  26.584 226.674  54.524  1.4377e+12  -0.033  -0.299   0.148   0.191   0.262
  26.474 187.727  62.133  4.3632e+10  26.399 187.415  62.293  2.5732e+11  -0.150  -0.254  -0.563   0.337   0.279
  26.494  68.976 193.269  3.9476e+12  26.423  68.744 193.389  2.0146e+13  -0.740   0.017  -0.410   0.838   0.323
  26.532 228.234  45.808  6.3686e+10  27.156 228.310  45.961  4.4458e+11  -0.072   0.071   0.260   0.061   0.062
  26.558 178.472  28.226  3.8376e+12  26.556 178.790  28.840  3.4932e+12  -0.429   0.530  -0.275   0.161   0.062
  26.676 125.206  90.887  6.6288e+12  26.676 125.206  90.887  6.6288e+12    -NaN    -NaN    -NaN   0.407   0.460
  26.724  22.670 219.243  3.0366e+11  27.088  22.654 219.447  3.8347e+10   0.334   0.655  -0.543   0.067   0.102
  26.755  44.485 188.632  6.7344e+10  27.028  44.784 188.765  5.7101e+11  -0.166   0.513  -0.817   0.092   0.057
  26.812 105.071 236.734  4.5366e+11  26.940 104.752 236.468  5.3239e+11  -0.159   0.105  -0.202   0.181   0.166
  26.901  11.498 226.812  9.6884e+10  27.278  11.563 226.899  1.2019e+11   0.131  -0.391  -0.274   0.025   0.064
  26.940 104.752 236.468  5.3239e+11  26.812 105.071 236.734  4.5366e+11  -0.159   0.105  -0.202   0.258   0.284
  26.956 248.913 249.278  1.4324e+12  27.108 248.649 248.633  1.1992e+13  -0.345  -0.074  -0.051   0.039   0.020
  26.973 233.774  51.257  2.2439e+11  27.101 233.589  51.535  5.7304e+11   0.190   0.082  -0.033   0.150   0.143
  27.052 235.870 197.610  3.8063e+11  27.298 235.820 197.315  2.6477e+11   0.194   0.769   0.033   0.177   0.201
  27.101  12.113 130.714  3.6247e+11  27.104  12.015 130.986  2.1745e+12  -0.165   0.642   0.231   0.123   0.196
  27.108 248.649 248.633  1.1992e+13  26.956 248.913 249.278  1.4324e+12  -0.345  -0.074  -0.051   0.000   0.000
  27.169 132.210 235.555  6.7615e+10  27.124 132.523 235.793  5.8212e+11  -0.702  -0.303   0.264   0.268   0.342
  27.186  67.617 224.133  6.4011e+11  27.574  67.709 224.584  1.4150e+12   0.115   0.921  -0.287   0.631   0.461
  27.194 204.143  72.704  4.4038e+10  27.499 204.100  73.047  2.4187e+11  -0.194   0.668   0.255   0.476   0.443
  27.203  63.148 124.702  2.4296e+11  27.765  63.188 124.400  4.7981e+11   0.197   0.252   0.399   0.000   0.000
  27.278  11.563 226.899  1.2019e+11  26.901  11.498 226.812  9.6884e+10   0.131  -0.391  -0.274   0.057   0.021
  27.298 235.820 197.315  2.6477e+11  27.052 235.870 197.610  3.8063e+11   0.194   0.769   0.033   0.354   0.305
  27.410  83.099 184.243  6.5854e+11  26.995  83.047 184.071  6.5420e+11   0.149  -0.326  -0.260   0.545   0.482
  27.453 104.226  10.991  1.2141e+11  27.387 104.421  11.297  1.4011e+11  -0.357  -0.360   0.153   0.230   0.267
  27.505  67.779 193.184  1.0060e+12  26.423  68.744 193.389  2.0146e+13   0.267   0.358  -0.277   1.251   0.223
  27.559  95.530 141.339  1.0745e+11  27.165  95.571 141.587  3.6586e+10   0.091  -0.121   0.165   0.060   0.057
  27.568  46.174  30.206  6.0325e+11  27.854  46.088  30.109  9.8781e+10  -0.051  -0.116  -0.047   0.264   0.284
  27.574  67.709 224.584  1.4150e+12  27.186  67.617 224.133  6.4011e+11   0.115   0.921  -0.287   0.424   0.586
  27.580 209.539 200.491  3.8103e+11  27.045 209.294 200.745  3.6477e+11  -0.034  -0.054  -0.124   0.251   0.289
  27.783 223.405  71.051  5.4634e+11  28.131 223.322  70.922  1.1762e+11   0.003   0.238  -0.145   0.057   0.065
  27.848 212.956 184.189  5.9309e+11  28.119 213.057 184.591  2.8293e+11  -0.601  -0.182   0.451   0.040   0.065
  27.854 137.396  97.315  2.4472e+11  27.968 137.197  97.111  1.0424e+13  -0.326   0.356  -0.529   0.220   0.096
  27.854  46.088  30.109  9.8781e+10  27.568  46.174  30.206  6.0325e+11  -0.051  -0.116  -0.047   0.249   0.229
  27.932 123.435  43.063  1.0683e+13  28.318 123.712  43.242  1.5877e+12   0.156   0.102  -0.493   0.134   0.134
  27.964 146.913 130.596  3.3184e+11  27.979 147.430 130.604  5.6342e+11   0.591  -0.008  -0.589   0.100   0.074
  28.032 210.957 197.569  2.3781e+11  28.056 210.975 197.560  3.8689e+12   0.062   0.038   0.228   0.527   0.186
  28.038 182.721 121.913  6.1504e+11  27.890 182.917 122.424  3.8930e+12  -0.402   0.432  -0.282   0.351   0.354
  28.044  30.082 134.529  9.8786e+12  28.183  30.160 134.567  2.1920e+12   0.277  -0.498   0.005   0.082   0.527
  28.084 168.241 136.078  3.1409e+11  28.362 167.944 136.589  9.6884e+10  -0.803  -0.355   0.229   0.034   0.056
  28.119 213.057 184.591  2.8293e+11  27.848 212.956 184.189  5.9309e+11  -0.601  -0.182   0.451   0.153   0.093
  28.131 223.322  70.922  1.1762e+11  27.783 223.405  71.051  5.4634e+11   0.003   0.238  -0.145   0.208   0.173
  28.144  50.359   7.003  5.4960e+11  28.471  50.721   7.115  8.9296e+10   0.111  -0.184   0.268   0.327   0.330
  28.197 138.794   9.750  1.9919e+11  28.455 139.004   9.460  9.9174e+11  -0.680   0.353  -0.351   0.258   0.304
  28.203 235.206 182.379  1.3306e+11  28.573 235.272 182.542  1.3564e+11   0.088   0.697  -0.485   0.223   0.292
  28.204 172.550  87.442  9.9323e+10  28.205 172.148  87.552  9.1735e+10   0.162   0.141   0.512   0.043   0.046
  28.205 172.148  87.552  9.1735e+10  28.204 172.550  87.442  9.9323e+10   0.162   0.141   0.512   0.090   0.088
  28.287 204.638 198.678  2.2331e+11  28.381 204.377 199.044  3.7792e+11  -0.196  -0.176  -0.076   0.288   0.301
  28.318 123.712  43.242  1.5877e+12  27.932 123.435  43.063  1.0683e+13   0.156   0.102  -0.493   0.084   0.063
  28.386  28.213 198.256  2.0678e+11  28.968  28.753 198.493  1.3472e+12   0.171   0.055  -0.546   0.203   0.234
  28.455 139.004   9.460  9.9174e+11  28.197 138.794   9.750  1.9919e+11  -0.680   0.353  -0.351   0.066   0.052
  28.471  50.721   7.115  8.9296e+10  28.144  50.359   7.003  5.4960e+11   0.111  -0.184   0.268   0.360   0.350
  28.703  58.981  19.094  5.0122e+11  28.485  58.908  19.380  6.2060e+10   0.354   0.114   0.298   0.161   0.137
  28.716 249.669 136.540  1.0608e+12  28.781 249.278 136.321  1.1250e+13   0.175   0.281  -0.451   0.035   0.032
  28.917 223.424  96.169  3.9567e+10  29.162 223.729  96.282  3.5217e+11  -0.473   0.295   0.230   0.288   0.318
  29.022 113.771 217.171  2.9282e+11  29.538 113.405 217.537  3.2995e+11   0.067  -0.076  -0.171   0.410   0.404
  29.210 247.744 213.185  5.3279e+11  29.304 247.388 213.379  2.0336e+12   0.174  -0.424  -0.861   0.064   0.065
  29.304 247.388 213.379  2.0336e+12  29.210 247.744 213.185  5.3279e+11   0.174  -0.424  -0.861   0.042   0.041
  29.415 167.742  96.173  1.0878e+12  28.767 167.337  96.186  1.8405e+12   0.306  -0.467   0.655   0.131   0.140
  29.459 215.200  92.148  1.2561e+11  29.588 214.960  92.421  7.2494e+10  -0.273  -0.093   0.047   0.183   0.171
  29.511 147.470 117.587  2.2111e+12  29.525 147.884 117.305  8.3873e+12  -0.483   0.170   0.225   0.613   0.312
  29.514 137.976 113.237  1.7024e+12  29.291 138.141 113.524  1.8976e+12  -0.180  -0.393   0.086   0.129   0.134
  29.525 147.884 117.305  8.3873e+12  29.511 147.470 117.587  2.2111e+12  -0.483   0.170   0.225   0.096   0.200
  29.588 214.960  92.421  7.2494e+10  29.459 215.200  92.148  1.2561e+11  -0.273  -0.093   0.047   0.145   0.158
  29.644 177.339 104.877  1.2565e+12  29.225 177.293 104.975  4.9323e+11  -0.046  -0.789  -0.580   0.768   0.877
  29.721  17.695   8.513  2.0352e+11  30.019  17.599   8.468  3.9935e+12   0.243   0.826  -0.162   0.156   0.176
  29.745   7.834  73.073  8.1301e+10  29.513   7.506  73.258  6.2873e+10  -0.002   0.274   0.482   0.016   0.024
  29.819  66.938  23.934  1.5020e+12  30.111  66.851  24.240  1.3930e+12  -0.066   0.201   0.121   0.051   0.059
  29.969 130.384 242.457  1.5461e+11  30.128 130.485 242.753  8.8618e+10  -0.032   0.202  -0.052   0.386   0.431
  29.993 195.910  37.833  4.7525e+12  29.681 196.166  37.966  4.1558e+11  -0.428  -0.581   0.113   0.000   0.000
  30.034 210.435 137.535  2.7941e+11  30.044 210.703 137.906  2.1802e+11   0.650  -0.507   0.348   0.032   0.065
  30.063 168.324 197.799  8.8781e+11  29.801 168.098 198.427  2.5230e+11   0.260   0.115   0.150   0.064   0.037
  30.118   4.478  65.039  1.2998e+13  30.007   4.571  64.989  3.0950e+12   0.610   0.404  -0.605   0.131   0.527
  30.173  47.035 194.569  3.9011e+11  30.476  47.157 194.463  2.6314e+11  -0.123   0.548   0.276   0.279   0.293
  30.207 234.318  23.538  1.6789e+11  30.354 234.025  23.632  7.4038e+11   0.629   0.221  -0.295   0.164   0.244
  30.341  73.006 164.776  3.4054e+12  29.694  73.367 164.428  3.1638e+12   0.118  -0.155  -0.379   0.045   0.032
  30.359 204.489 123.503  7.3279e+11  30.485 204.642 123.744  2.0824e+12  -0.158   0.109   0.014   0.156   0.244
  30.462 208.378 199.637  8.5011e+12  30.155 208.348 199.617  2.5962e+11  -0.096   0.981  -0.013   0.112   0.347
  30.501 114.186  95.759  4.0109e+11  30.796 114.210  95.549  2.9989e+12  -0.339   0.629  -0.404   0.052   0.189
  30.563  18.401 117.525  5.9485e+10  30.627  18.013 117.748  2.1477e+11  -0.308  -0.257  -0.358   0.034   0.027
  30.650 200.718 168.443  4.0027e+11  31.088 200.472 168.092  1.3049e+11  -0.289   0.405  -0.645   0.135   0.128
  30.652  37.918  21.874  2.5244e+11  30.428  37.553  21.859  1.1121e+12   0.790  -0.495   0.221   0.017   0.035
  30.658  23.987  94.471  1.2317e+11  31.063  24.117  94.691  3.8130e+11   0.370  -0.286  -0.512   0.229   0.190
  30.677 133.665  11.308  1.0469e+12  31.263 133.239  11.195  8.8374e+11   0.322   0.396   0.180   0.315   0.372
  30.719 160.105 118.176  4.9783e+11  30.562 160.658 117.577  6.6708e+11  -0.236  -0.626  -0.516   0.129   0.115
  30.807  36.761 133.212  7.8415e+11  30.783  37.051 133.692  2.7873e+11  -0.336  -0.527   0.302   0.016   0.028
  30.964 195.634 231.877  7.8523e+11  31.296 195.398 231.708  7.7914e+10   0.105   0.523  -0.523   0.079   0.074
  31.057 143.332 156.188  1.4052e+12  31.014 143.211 156.178  2.5088e+12   0.212  -0.050  -0.282   0.412   0.124
  31.063  24.117  94.691  3.8130e+11  30.658  23.987  94.471  1.2317e+11   0.370  -0.286  -0.512   0.098   0.114
  31.088 200.472 168.092  1.3049e+11  30.650 200.718 168.443  4.0027e+11  -0.289   0.405  -0.645   0.204   0.222
  31.103  28.911 247.490  2.9377e+11  31.015  29.209 247.758  1.8930e+11  -0.515   0.119  -0.302   0.099   0.072
  31.117 161.347  68.677  2.2300e+13  30.917 161.240  70.266  2.0800e+11   0.384  -0.473   0.017   0.201   1.227
  31.192 147.966 221.956  9.2467e+11  30.683 148.279 222.129  1.0068e+12   0.085  -0.248   0.698   0.152   0.231
  31.352  60.933 191.541  2.0665e+12  31.484  61.388 191.655  9.1586e+11  -0.802   0.086   0.589   0.242   0.206
  31.369  84.744 189.484  5.7412e+11  31.397  84.904 189.790  3.5610e+11  -0.320  -0.282   0.177   0.633   0.540
  31.369 143.458 125.155  3.5942e+12  30.518 143.372 125.151  6.2934e+12   0.043  -0.430   0.072   0.032   0.021
  31.375  67.417 136.115  1.7066e+12  31.144  67.385 136.357  8.1979e+10  -0.165  -0.225  -0.186   0.205   0.184
  31.381   8.548 183.061  4.0759e+11  31.576   8.506 183.409  9.5258e+10  -0.137   0.226   0.104   0.196   0.212
  31.420  68.386 113.158  2.7019e+11  31.502  67.908 113.298  1.2412e+11   0.125  -0.064  -0.293   0.268   0.262
  31.457 211.149 185.622  7.7778e+10  31.584 211.334 185.275  1.4661e+11   0.642   0.310   0.401   0.148   0.163
  31.587  64.212  88.307  5.5827e+11  31.854  64.027  88.376  4.0502e+11   0.072   0.135   0.083   0.311   0.251
  31.645  25.967 214.535  7.4526e+11  31.196  25.351 214.523  5.8998e+12   0.463  -0.337  -0.042   0.919   0.184
  31.670 112.103 204.032  1.3598e+12  32.056 112.012 203.860  5.5435e+12   0.417   0.703   0.562   0.437   0.281
  31.702 105.868   3.187  2.7099e+12  32.102 106.174   3.378  2.7060e+12   0.095  -0.257   0.214   0.428   0.585
  31.764  92.433  59.948  4.2954e+10  31.686  92.021  59.718  1.4566e+11   0.050  -0.374   0.653   0.075   0.071
  31.768 140.989 165.359  2.2846e+11  32.152 141.323 165.257  6.1857e+11  -0.059  -0.144  -0.695   0.136   0.144
  31.820 145.134 156.249  2.1026e+12  31.582 144.964 156.564  1.2053e+12   0.129  -0.263  -0.045   0.415   0.308
  31.827  45.541 128.350  3.6939e+12  32.295  45.479 128.089  1.6653e+12  -0.119  -0.144  -0.179   0.083   0.173
  31.863 127.660 141.624  5.9269e+11  31.908 127.974 141.723  1.3699e+11  -0.331  -0.083   0.413   0.333   0.323
  31.877 143.027 110.115  3.3862e+11  31.866 142.809 110.407  1.6045e+12  -0.231  -0.253  -0.197   0.112   0.164
  31.878  53.477 228.422  2.1837e+12  32.173  53.207 228.527  8.1924e+12  -0.111  -0.145  -0.059   0.000   0.000
  31.883  99.825  20.469  3.1829e+11  31.930  99.484  20.646  3.1735e+11   0.198   0.167   0.269   0.114   0.154
  31.932  79.886 139.685  1.7114e+11  32.377  80.025 139.528  1.4041e+12  -0.346   0.115  -0.881   0.396   0.484
  31.933 174.444  45.741  2.6366e+12  32.633 173.541  45.698  7.1708e+11   0.575   0.475  -0.628   0.355   1.094
  31.987 127.122  81.342  1.0000e+12  31.767 127.461  81.685  4.6129e+12  -0.168  -0.272   0.161   0.084   0.047
  31.999 105.019  10.932  7.8727e+10  32.024 105.205  10.465  3.9783e+11   0.472  -0.286  -0.089   0.110   0.102
  32.024 105.205  10.465  3.9783e+11  31.999 105.019  10.932  7.8727e+10   0.472  -0.286  -0.089   0.067   0.073
  32.024  17.206 243.888  2.3817e+13  32.956  17.203 244.183  5.5835e+12   0.222   0.579  -0.695   0.676   1.002
  32.069  50.911 212.637  6.0095e+11  32.335  51.600 212.574  8.4838e+12  -0.249   0.057  -0.431   0.000   0.000
  32.102 106.174   3.378  2.7060e+12  31.702 105.868   3.187  2.7099e+12   0.095  -0.257   0.214   0.190   0.129
  32.152 141.323 165.257  6.1857e+11  31.768 140.989 165.359  2.2846e+11  -0.059  -0.144  -0.695   0.097   0.091
  32.188 217.573  95.176  4.4851e+11  32.011 217.801  95.452  1.5935e+11  -0.215  -0.028  -0.114   0.309   0.357
  32.241  83.757 121.886  1.5171e+12  32.147  83.706 121.771  5.0407e+12  -0.711   0.562   0.330   0.526   0.288
  32.295  45.479 128.089  1.6653e+12  31.827  45.541 128.350  3.6939e+12  -0.119  -0.144  -0.179   0.342   0.160
  32.373 168.953 179.786  6.5515e+11  32.320 169.328 179.938  8.1233e+11  -0.509  -0.149   0.191   0.257   0.203
  32.377  80.025 139.528  1.4041e+12  31.932  79.886 139.685  1.7114e+11  -0.346   0.115  -0.881   0.273   0.222
  32.425  44.207  73.142  4.6179e+11  31.840  44.080  73.139  6.4689e+11   0.034  -0.148  -0.249   0.011   0.019
  32.472 239.377  99.025  5.8930e+11  32.440 239.752  99.472  2.1680e+11  -0.258  -0.239   0.182   0.106   0.093
  32.497  47.748 123.778  1.2791e+11  32.069  47.531 123.817  1.0243e+12   0.009  -0.014   0.018   0.027   0.015
  32.515 221.598  94.116  1.6850e+12  32.124 221.728  94.225  3.6477e+11  -0.008  -0.060   0.045   0.269   0.368
  32.530 166.839 216.509  6.9830e+12  32.767 167.178 216.203  2.3239e+12  -0.452   0.059  -0.285   0.211   0.339
  32.541 172.874 118.412  2.6911e+12  32.856 172.785 117.936  4.8914e+13  -0.620  -0.636  -0.290   0.507   0.094
  32.594   1.267 215.768  1.5203e+11  32.764   1.071 216.148  1.3672e+11   0.479  -0.261  -0.348   0.057   0.063
  32.700 169.194 231.567  1.1665e+12  33.208 169.366 231.336  1.5001e+13  -0.101  -0.493  -0.589   0.045   0.021
  32.702 211.071 181.748  1.8808e+11  33.001 210.932 181.917  1.1768e+12   0.010  -0.173  -0.159   0.053   0.057
  32.776  59.712 110.531  5.1359e+12  32.597  59.592 110.122  1.6680e+11   0.345  -0.916   0.118   0.104   0.287
  32.795 185.786  99.642  1.4882e+13  32.792 185.449 100.098  5.6382e+12  -0.472   0.569   0.417   0.186   0.176
  32.810 160.708  29.130  4.5800e+11  32.927 160.511  29.748  5.7521e+11   0.049   0.244   0.068   0.178   0.128
  32.830  20.754 178.612  2.3958e+12  33.558  20.926 179.057  7.5778e+12   0.370   0.434  -0.773   1.300   0.050
  32.856 172.785 117.936  4.8914e+13  32.780 172.883 117.911  8.5370e+12  -0.661  -0.351   0.624   0.150   0.854
  32.862  39.191 119.102  4.6423e+11  32.976  39.134 118.808  3.4539e+11  -0.383   0.743  -0.291   0.104   0.124
  33.067 180.332 109.025  1.2285e+13  33.067 180.521 109.502  1.9182e+12  -0.235   0.308  -0.122   0.052   0.090
  33.073  43.109  50.900  1.1860e+12  32.839  43.014  51.193  1.1138e+11  -0.047  -0.602  -0.233   0.113   0.143
  33.085 238.934 166.987  4.0946e+12  33.197 238.842 166.915  2.2410e+13   0.084   0.221  -0.153   0.745   0.042
  33.099 248.116   7.717  1.6260e+12  33.280 248.646   7.891  2.9721e+12  -0.713   0.309  -0.198   0.035   0.036
  33.141 247.254  38.499  1.2607e+12  32.916 247.005  38.220  2.4430e+12   0.461  -0.066  -0.312   0.170   0.202
  33.148 113.831  84.595  4.1680e+11  33.398 113.928  84.902  1.2968e+11  -0.169   0.581  -0.045   0.075   0.089
  33.173 115.822 145.040  1.8266e+11  33.225 115.480 145.088  2.2724e+11  -0.131   0.035   0.396   0.263   0.293
  33.179 104.700  70.603  6.8003e+12  33.051 104.616  70.412  2.4466e+13   0.303   0.413  -0.385   0.558   0.048
  33.194  31.539  25.555  3.1674e+12  33.286  31.510  25.648  8.9648e+11  -0.537  -0.786   0.278   0.088   0.373
  33.197 238.842 166.915  2.2410e+13  33.085 238.934 166.987  4.0946e+12   0.084   0.221  -0.153   0.065   0.839
  33.225 115.480 145.088  2.2724e+11  33.173 115.822 145.040  1.8266e+11  -0.131   0.035   0.396   0.270   0.246
  33.271  57.727  11.886  4.7778e+11  33.710  57.759  12.103  1.8919e+12   0.034  -0.453  -0.001   0.045   0.060
  33.341 102.168  90.744  4.1355e+11  33.067 101.758  90.651  4.2141e+10   0.463  -0.162  -0.650   0.030   0.034
  33.394  23.638 233.842  5.2304e+10  33.217  23.819 234.062  2.7439e+11   0.418   0.005   0.332   0.185   0.177
  33.487 135.995  61.537  1.7087e+12  33.643 136.258  60.764  1.6344e+12  -0.078  -0.518  -0.192   0.134   0.078
  33.514 216.224  25.394  1.0279e+12  33.804 216.291  25.790  2.0356e+12   0.165  -0.631  -0.014   0.023   0.056
  33.558  20.926 179.057  7.5778e+12  32.830  20.754 178.612  2.3958e+12   0.370   0.434  -0.773   0.082   1.378
  33.661 179.238 224.305  7.3916e+11  33.671 179.729 224.018  4.1884e+11  -0.316  -0.234  -0.411   0.048   0.035
  33.664 136.440 195.349  2.8686e+11  33.768 136.214 195.678  3.9174e+11   0.412   0.007  -0.125   0.163   0.155
  33.671 179.729 224.018  4.1884e+11  33.661 179.238 224.305  7.3916e+11  -0.316  -0.234  -0.411   0.170   0.234
  33.708 171.616 100.342  1.9678e+12  33.492 172.363 100.217  5.4492e+12  -0.822  -0.152   0.519   0.319   0.270
  33.710  57.759  12.103  1.8919e+12  33.271  57.727  11.886  4.7778e+11   0.034  -0.453  -0.001   0.089   0.070
  33.818  63.276  41.990  7.5502e+11  34.176  63.053  42.048  4.3401e+11   0.441   0.722   0.056   0.057   0.097
  33.862  18.558   4.618  1.8022e+11  33.845  18.996   5.039  1.9214e+11   0.010  -0.028   0.030   0.054   0.052
  33.930 177.215  40.636  1.5973e+12  33.571 176.776  41.069  9.3063e+11  -0.079  -0.087  -0.153   0.055   0.035
  34.111  64.844 126.046  2.8252e+11  34.446  64.949 126.245  1.0854e+11  -0.181   0.168   0.216   0.071   0.082
  34.151 183.184  64.327  2.3767e+11  33.703 183.058  64.374  2.5420e+11   0.184  -0.399   0.684   0.055   0.034
  34.189 166.174  37.625  6.0027e+10  34.317 166.166  38.002  3.6762e+11   0.348  -0.427  -0.126   0.293   0.277
  34.192  63.160 162.846  2.0068e+11  34.665  63.125 163.060  1.9268e+11  -0.094   0.284   0.253   0.056   0.057
  34.317 166.166  38.002  3.6762e+11  34.189 166.174  37.625  6.0027e+10   0.348  -0.427  -0.126   0.210   0.224
  34.499 157.417 161.615  6.8022e+10  34.155 157.561 161.870  1.6382e+11  -0.002   0.260  -0.150   0.124   0.106
  34.528 226.143  16.149  3.6342e+11  34.361 226.534  16.189  2.2046e+11  -0.596  -0.221  -0.320   0.271   0.287
  34.562  13.231  44.661  7.6423e+10  34.357  12.950  44.470  2.6721e+11   0.109  -0.273   0.283   0.095   0.112
  34.693 217.081 127.627  1.7033e+11  34.685 217.320 127.989  4.7697e+10   0.487   0.458  -0.293   0.068   0.073
  34.743 236.058  99.458  8.6423e+11  35.165 235.981  99.110  2.3786e+12  -0.105  -0.114  -0.102   0.159   0.137
  34.778  16.057 108.797  1.3062e+11  34.837  16.388 108.558  1.1206e+11  -0.820  -0.156  -0.417   0.122   0.123
  34.807 132.163  38.040  2.1789e+11  34.339 132.355  37.773  2.9838e+11  -0.093   0.516   0.535   0.136   0.140
  34.837  16.388 108.558  1.1206e+11  34.778  16.057 108.797  1.3062e+11  -0.820  -0.156  -0.417   0.078   0.079
  34.868 168.016 116.961  2.0968e+12  34.783 167.838 116.545  4.7846e+11  -0.767   0.031   0.143   0.080   0.059
  34.878 220.306 174.349  7.7101e+10  34.863 220.703 174.554  1.9594e+11  -0.714  -0.029   0.003   0.059   0.041
  34.889 210.144 134.891  1.3744e+12  34.362 210.150 135.110  1.6323e+12  -0.132  -0.294  -0.311   0.000   0.000
  34.930 178.126 196.570  2.4946e+11  35.095 178.430 196.791  3.0773e+11   0.076   0.420  -0.635   0.240   0.173
  34.953  93.395 150.072  7.9621e+11  34.691  93.583 150.101  1.1626e+11  -0.145  -0.176  -0.170   0.280   0.254
  34.979  36.762  36.185  9.2738e+11  35.326  36.740  36.341  2.0915e+12  -0.175  -0.437   0.327   0.072   0.056
  34.980  96.232  52.409  1.3573e+12  34.991  96.580  52.364  4.3835e+11  -0.862  -0.001  -0.210   0.148   0.206
  35.031 148.272 110.090  9.0095e+11  34.882 148.485 110.268  1.5453e+12   0.095  -0.415   0.573   0.447   0.393
  35.086 248.868 139.174  8.2175e+12  35.660 248.562 139.268  1.8600e+13   0.136   0.248  -0.021   0.058   0.095
  35.165 235.981  99.110  2.3786e+12  34.743 236.058  99.458  8.6423e+11  -0.105  -0.114  -0.102   0.046   0.056
  35.182  61.052 100.322  2.6897e+11  35.134  61.268 100.667  6.7819e+11  -0.275   0.394  -0.285   0.070   0.074
  35.254 171.261  84.983  1.4295e+11  34.859 171.526  85.143  5.1762e+10  -0.356  -0.235  -0.491   0.044   0.044
  35.269 242.643  94.797  2.4621e+11  35.332 243.020  95.053  2.1667e+11   0.316  -0.408   0.523   0.116   0.163
  35.326  36.740  36.341  2.0915e+12  34.979  36.762  36.185  9.2738e+11  -0.175  -0.437   0.327   0.267   0.334
  35.420  70.445  90.285  1.6301e+11  34.844  70.634  90.442  2.3374e+11   0.161   0.072   0.502   0.225   0.245
  35.535  77.508 238.197  5.8645e+11  35.622  77.581 238.249  2.4935e+12  -0.097   0.517  -0.569   0.726   0.390
  35.598  64.316 139.628  6.5362e+12  35.753  63.921 140.011  6.2399e+11  -0.044   0.206   0.230   0.000   0.000
  35.676 111.649  61.835  1.2048e+13  35.615 112.289  61.972  3.4358e+12  -0.221  -0.061   0.188   0.099   0.125
  35.695  46.676   1.703  1.2426e+11  35.837  46.343   1.854  6.1274e+11   0.235   0.302   0.443   0.261   0.229
  35.724 117.082  44.039  1.3756e+12  35.988 117.370  43.990  9.0786e+10  -0.009  -0.100  -0.628   0.041   0.028
  35.762 104.481 199.938  1.3333e+11  35.714 104.098 200.082  8.8347e+10   0.531   0.165   0.616   0.187   0.171
  35.815 115.952 225.553  4.3510e+11  36.276 115.836 225.230  7.1030e+11  -0.107   0.808  -0.442   0.104   0.119
  35.828  11.272  28.061  2.2126e+12  35.828  11.272  28.061  2.2126e+12    -NaN    -NaN    -NaN   0.251   0.195
