#x1 y1 z1 m1 x2 y2 z2 m2 nx ny nz disp1 disp2
#        5520
   2.194 125.124 101.321  6.4580e+11   2.589 125.083 101.304  5.5014e+10   0.030   0.586  -0.723   0.024   0.029
   2.207  82.526  88.304  4.9228e+11   2.057  82.907  88.519  6.4973e+11  -0.504  -0.098  -0.178   0.312   0.381
   2.248 136.986 162.130  6.8578e+11   2.012 136.765 162.190  8.2467e+12  -0.671   0.654  -0.232   0.250   0.151
   2.305 238.923  45.372  3.5176e+11   2.419 238.986  45.063  1.6526e+12   0.002  -0.210  -0.042   0.206   0.162
   2.368 142.527  83.100  2.9119e+11   2.674 142.821  83.099  1.9445e+11  -0.070   0.073   0.096   0.174   0.162
   2.372  16.341  85.933  1.8970e+12   2.557  16.600  85.635  1.9607e+12  -0.782   0.024  -0.465   0.018   0.015
   2.419 238.986  45.063  1.6526e+12   2.305 238.923  45.372  3.5176e+11   0.002  -0.210  -0.042   0.103   0.137
   2.509  30.134 243.033  5.2439e+10   2.828  29.905 243.130  4.4390e+11  -0.124  -0.315  -0.336   0.151   0.177
   2.576  81.581 127.085  1.4417e+11   2.446  81.365 127.407  1.1179e+11   0.170   0.007   0.074   0.225   0.220
   2.600 113.494 195.022  5.2846e+10   2.981 113.779 195.080  2.7168e+11   0.031   0.089  -0.644   0.153   0.148
   2.633 131.035   4.559  1.6252e+13   2.729 130.499   5.000  9.4366e+12   0.213  -0.245  -0.344   0.022   0.047
   2.655  37.416 189.719  6.8564e+10   2.813  37.737 189.940  1.1829e+11   0.535  -0.110  -0.221   0.094   0.096
   2.674 142.821  83.099  1.9445e+11   2.368 142.527  83.100  2.9119e+11  -0.070   0.073   0.096   0.000   0.000
   2.695 156.530  79.322  1.3320e+11   3.153 156.535  79.558  4.4648e+11  -0.174   0.709   0.323   0.104   0.086
   2.708 216.811  98.492  7.5067e+12   2.755 216.419  98.993  1.6583e+13   0.105   0.167   0.121   0.000   0.000
   2.723 154.698 124.450  6.4106e+11   3.163 154.612 123.901  1.1711e+13  -0.159  -0.075  -0.116   0.742   0.291
   2.792 249.798 218.895  3.9472e+11   3.032 249.445 219.526  6.7529e+12   0.046   0.001  -0.017   0.035   0.018
   2.802  20.976 182.595  6.4756e+12   2.632  21.641 182.706  3.9602e+12  -0.455  -0.179   0.372   0.089   0.081
   2.826 232.564  67.990  1.6951e+11   3.020 232.836  67.683  4.1111e+11  -0.619   0.055  -0.344   0.101   0.131
   2.868 187.225  22.778  3.5149e+11   2.990 187.585  22.861  9.8469e+11   0.329   0.058  -0.739   0.233   0.187
   2.955 185.655 227.540  3.6558e+11   3.207 185.803 227.857  6.0705e+10   0.056   0.560  -0.306   0.063   0.068
   2.973 249.440 248.635  1.7100e+11   2.654 249.346 248.342  1.9187e+11   0.461  -0.549  -0.327   0.040   0.043
   2.981 113.779 195.080  2.7168e+11   2.600 113.494 195.022  5.2846e+10   0.031   0.089  -0.644   0.123   0.128
   2.990 187.585  22.861  9.8469e+11   2.868 187.225  22.778  3.5149e+11   0.329   0.058  -0.739   0.142   0.177
   2.993 227.660 249.319  1.4343e+12   3.048 228.048 249.768  4.5172e+12  -0.062  -0.087   0.083   0.385   0.327
   3.083 177.727  64.003  6.6214e+12   1.977 177.020  64.169  2.5461e+11   0.268  -0.447  -0.119   0.147   0.934
   3.090  54.875  13.586  1.1016e+13   2.310  54.532  14.820  1.8155e+12  -0.009  -0.753  -0.214   0.154   1.306
   3.100 114.390   1.616  1.0239e+12   3.025 114.876   1.934  2.9106e+11  -0.036   0.213  -0.335   0.152   0.179
   3.153 156.535  79.558  4.4648e+11   2.695 156.530  79.322  1.3320e+11  -0.174   0.709   0.323   0.048   0.057
   3.163 154.612 123.901  1.1711e+13   3.174 154.647 123.947  1.3847e+12   0.200   0.751  -0.612   0.324   0.447
   3.174 154.647 123.947  1.3847e+12   3.163 154.612 123.901  1.1711e+13   0.200   0.751  -0.612   0.502   0.359
   3.193 227.743  30.000  6.8809e+12   3.193 227.743  30.000  6.8809e+12    -NaN    -NaN    -NaN   0.262   0.289
   3.256 158.212 149.367  5.0867e+11   2.956 157.811 149.679  1.1332e+12   0.114  -0.456  -0.477   0.000   0.000
   3.261 240.043 249.586  1.8949e+12   3.685 239.891 249.164  1.8910e+13   0.015   0.943  -0.324   0.725   0.332
   3.329  32.662 102.743  3.9873e+12   3.507  32.706 102.581  1.8126e+13   0.474  -0.067   0.501   0.318   0.375
   3.386  57.400 178.712  3.7805e+10   3.110  57.746 178.972  2.9892e+11  -0.668  -0.385  -0.198   0.219   0.218
   3.476 116.044  73.168  1.5176e+11   3.536 116.360  73.304  3.7805e+10  -0.234  -0.044   0.205   0.465   0.482
   3.481 165.966  43.382  3.3062e+11   3.686 166.082  43.640  1.9851e+11  -0.186   0.162   0.075   0.242   0.178
   3.507  32.706 102.581  1.8126e+13   3.329  32.662 102.743  3.9873e+12   0.474  -0.067   0.501   0.293   0.273
   3.542  80.093 113.424  2.2615e+11   3.778  79.925 113.860  1.2331e+11   0.097  -0.272  -0.157   0.012   0.021
   3.583  60.469 113.615  1.3360e+12   3.686  60.488 113.689  5.7201e+12  -0.172   0.630   0.080   0.299   0.048
   3.686  60.488 113.689  5.7201e+12   3.583  60.469 113.615  1.3360e+12  -0.172   0.630   0.080   0.150   0.291
   3.710 176.238 121.317  6.9458e+11   3.850 176.306 121.009  1.9946e+11  -0.016   0.208   0.039   0.128   0.069
   3.810  32.688 102.169  5.9011e+11   3.507  32.706 102.581  1.8126e+13   0.636   0.003   0.467   0.159   0.081
   3.977  36.773 178.819  9.2196e+11   4.199  36.880 179.161  6.1721e+11   0.213  -0.532   0.027   0.030   0.055
   4.050 181.364  82.869  1.2749e+12   4.162 181.847  83.072  1.5051e+13  -0.212   0.227  -0.423   0.394   0.136
   4.141 169.186 118.648  1.0636e+12   4.732 169.380 118.414  9.4677e+12  -0.169   0.550   0.031   0.313   0.233
   4.143  43.666 132.904  2.1675e+12   4.070  43.753 133.321  2.1735e+11  -0.430   0.095  -0.095   0.131   0.082
   4.155 174.766 197.873  1.9472e+11   4.348 174.519 198.040  1.6233e+11   0.102   0.262   0.269   0.313   0.294
   4.157  76.951 247.445  1.0249e+12   4.602  76.542 247.776  2.0529e+11   0.322   0.143  -0.256   0.000   0.000
