# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA eigen2_xA eigen2_yA eigen2_zA eigen3_xA eigen3_yA eigen3_zA# lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB eigen2_xB eigen2_yB eigen2_zB eigen3_xB eigen3_yB eigen3_zB 
# 5481
0.555169 -0.013073 -0.587358 -0.567867 -0.640564 0.516919 -0.745320 0.666666 0.007351 0.349321 0.381096 0.856002 0.555169 -0.013073 -0.587358 -0.567867 -0.640564 0.516919 -0.745320 0.666666 0.007351 0.349321 0.381096 0.856002 
0.841144 -0.200560 -0.382299 -0.547263 0.752563 0.366269 -0.433229 -0.629140 0.645365 0.716112 0.194506 0.670336 0.818303 -0.224251 -0.271964 -0.597815 0.767159 0.232560 -0.742081 -0.639332 0.201421 0.303206 -0.052166 0.951496 
3.950906 2.446009 1.367438 -0.607058 -0.053694 0.792842 0.215712 0.949118 0.229442 0.764820 -0.310310 0.564587 3.950906 2.446009 1.367438 -0.607058 -0.053694 0.792842 0.215712 0.949118 0.229442 0.764820 -0.310310 0.564587 
0.401277 0.067558 -0.068403 -0.827794 0.271289 0.491080 0.559948 0.453892 0.693138 0.034856 -0.848755 0.527637 0.471040 0.080816 0.061613 -0.844438 0.230157 0.483687 0.481349 -0.070115 0.873720 -0.235007 -0.970624 0.051578 
1.788264 0.393024 -0.928568 -0.857992 0.396376 0.326704 0.471918 0.859434 0.196641 0.202837 -0.322893 0.924444 1.616929 0.327297 -0.817210 -0.828133 0.339577 0.445964 0.417996 0.904207 0.087694 0.373464 -0.259033 0.890745 
0.798883 -0.018006 -0.628422 0.229838 0.216202 0.948910 -0.629559 -0.710511 0.314372 -0.742179 0.669650 0.027191 0.824823 0.081182 -0.686884 0.318296 0.184766 0.929811 -0.784528 -0.499259 0.367771 -0.532168 0.846524 0.013957 
0.255653 0.052577 -0.048414 0.314574 -0.870137 0.379348 -0.787628 -0.016218 0.615938 0.529798 0.492543 0.690446 0.255653 0.052577 -0.048414 0.314574 -0.870137 0.379348 -0.787628 -0.016218 0.615938 0.529798 0.492543 0.690446 
5.091135 3.812759 1.737817 -0.966052 -0.121167 0.228172 0.251383 -0.237153 0.938384 -0.059589 0.963886 0.259561 5.091135 3.812759 1.737817 -0.966052 -0.121167 0.228172 0.251383 -0.237153 0.938384 -0.059589 0.963886 0.259561 
0.253133 0.087477 -0.170927 -0.173001 -0.541979 0.822392 0.217329 0.793395 0.568588 0.960645 -0.277096 0.019471 0.272106 -0.043597 -0.171293 -0.132889 -0.466248 0.874616 0.379975 0.791051 0.479434 -0.915402 0.396043 0.072041 
1.160600 0.496237 -1.591806 -0.981463 -0.060096 0.181984 0.154025 -0.812391 0.562403 0.114044 0.580008 0.806588 1.248545 0.518236 -1.628061 0.999906 -0.001527 0.013651 -0.009000 -0.823620 0.567071 -0.010377 0.567140 0.823556 
3.689697 2.496652 -2.692104 -0.642675 0.079914 0.761959 0.331077 0.925857 0.182144 0.690910 -0.369327 0.621483 2.737520 1.990180 -1.920228 -0.543124 0.281793 0.790955 0.524164 0.849694 0.057206 0.655949 -0.445660 0.609195 
2.737520 1.990180 -1.920228 -0.543124 0.281793 0.790955 0.524164 0.849694 0.057206 0.655949 -0.445660 0.609195 3.689697 2.496652 -2.692104 -0.642675 0.079914 0.761959 0.331077 0.925857 0.182144 0.690910 -0.369327 0.621483 
1.331733 0.882167 -0.659335 0.002879 -0.347712 0.937597 -0.709545 0.659977 0.246934 0.704654 0.665978 0.244817 1.402626 1.011507 -0.572051 0.108609 -0.437214 0.892776 -0.716413 0.588194 0.375207 0.689171 0.680347 0.249342 
0.031294 -0.085350 -0.164482 0.406023 0.212253 0.888872 -0.834151 -0.311216 0.455342 0.373279 -0.926333 0.050690 0.031294 -0.085350 -0.164482 0.406023 0.212253 0.888872 -0.834151 -0.311216 0.455342 0.373279 -0.926333 0.050690 
2.940852 2.163877 1.704432 0.941762 -0.079644 0.326711 -0.134777 0.800710 0.583694 -0.308089 -0.593734 0.743344 2.940852 2.163877 1.704432 0.941762 -0.079644 0.326711 -0.134777 0.800710 0.583694 -0.308089 -0.593734 0.743344 
1.499101 0.564870 0.544976 0.909776 -0.381168 0.164375 -0.251742 -0.191786 0.948601 0.330051 0.904394 0.270439 1.294778 0.845004 0.364176 0.799830 -0.434442 0.414165 -0.580758 -0.385824 0.716840 0.151631 0.813880 0.560899 
2.940852 2.163877 1.704432 0.941762 -0.079644 0.326711 -0.134777 0.800710 0.583694 -0.308089 -0.593734 0.743344 2.940852 2.163877 1.704432 0.941762 -0.079644 0.326711 -0.134777 0.800710 0.583694 -0.308089 -0.593734 0.743344 
0.031294 -0.085350 -0.164482 0.406023 0.212253 0.888872 -0.834151 -0.311216 0.455342 0.373279 -0.926333 0.050690 0.031294 -0.085350 -0.164482 0.406023 0.212253 0.888872 -0.834151 -0.311216 0.455342 0.373279 -0.926333 0.050690 
3.733535 2.048745 -3.498000 0.383659 0.782155 0.490957 0.675363 -0.600236 0.428487 -0.629834 -0.167182 0.758525 3.688212 1.929461 -3.161136 0.415075 0.712587 0.565626 0.539572 -0.693382 0.477580 -0.732512 -0.106965 0.672298 
2.236421 1.646957 -0.794022 0.504692 -0.766228 0.397720 -0.497130 0.118698 0.859519 0.705795 0.631511 0.321009 2.236421 1.646957 -0.794022 0.504692 -0.766228 0.397720 -0.497130 0.118698 0.859519 0.705795 0.631511 0.321009 
0.151113 -0.128031 -0.270470 -0.999517 0.028291 0.012890 0.000400 -0.402868 0.915258 0.031086 0.914821 0.402662 0.157263 -0.166035 -0.245171 -0.982566 -0.079217 0.168194 0.182923 -0.250281 0.950736 -0.033218 0.964927 0.260408 
1.082699 0.760957 0.306835 -0.752175 -0.085261 0.653424 0.412709 -0.833982 0.366260 0.513716 0.545165 0.662488 1.082699 0.760957 0.306835 -0.752175 -0.085261 0.653424 0.412709 -0.833982 0.366260 0.513716 0.545165 0.662488 
0.337395 0.010104 -0.283126 0.901333 -0.367500 0.229223 -0.419036 -0.605986 0.676159 0.109583 0.705496 0.700190 0.337395 0.010104 -0.283126 0.901333 -0.367500 0.229223 -0.419036 -0.605986 0.676159 0.109583 0.705496 0.700190 
3.703055 2.517064 -0.302841 -0.646567 0.211313 0.733006 0.761860 0.129762 0.634611 -0.038986 -0.968767 0.244891 3.703055 2.517064 -0.302841 -0.646567 0.211313 0.733006 0.761860 0.129762 0.634611 -0.038986 -0.968767 0.244891 
0.401271 0.003824 -0.255211 -0.364061 -0.870036 0.332411 0.895113 -0.228225 0.382996 -0.257356 0.436980 0.861868 0.370966 0.058278 -0.284821 -0.475181 -0.843992 0.248758 0.852064 -0.370848 0.369403 -0.219522 0.387491 0.895355 
0.406564 0.211011 -0.059590 -0.897412 0.352219 0.265694 0.060528 -0.498234 0.864927 0.437021 0.792278 0.425802 0.337233 0.088053 -0.107038 -0.896250 0.434034 0.091386 -0.132332 -0.458306 0.878888 0.423350 0.775609 0.468193 
2.608031 2.516424 1.873993 -0.544179 0.749084 0.377814 0.056098 -0.416835 0.907250 0.837092 0.514901 0.184811 2.608031 2.516424 1.873993 -0.544179 0.749084 0.377814 0.056098 -0.416835 0.907250 0.837092 0.514901 0.184811 
0.466929 0.255727 -0.344627 -0.093872 0.787810 0.608723 0.750171 -0.346009 0.563490 -0.654547 -0.509542 0.558511 0.606077 0.323614 -0.391228 -0.064315 0.785871 0.615037 0.755796 -0.364089 0.544253 -0.651641 -0.499846 0.570542 
0.477068 0.199212 -0.137779 0.562787 0.783076 0.264694 -0.701315 0.282850 0.654334 0.437524 -0.553885 0.708367 0.458119 0.292211 -0.146958 0.534238 0.815283 0.223390 -0.643962 0.221309 0.732349 0.547633 -0.535104 0.643243 
2.252374 1.315758 0.487716 -0.260857 -0.803662 0.534865 -0.086781 0.571326 0.816122 0.961469 -0.166475 0.218777 2.216133 1.361738 0.712695 -0.279168 -0.765605 0.579582 -0.165459 0.632904 0.756344 0.945880 -0.115249 0.303363 
1.325499 0.875706 -0.248079 -0.548347 -0.563925 0.617498 0.824710 -0.486928 0.287671 0.138453 0.667000 0.732080 1.325499 0.875706 -0.248079 -0.548347 -0.563925 0.617498 0.824710 -0.486928 0.287671 0.138453 0.667000 0.732080 
3.412511 1.542513 1.051399 -0.128687 0.692113 0.710225 0.845226 -0.298036 0.443584 -0.518683 -0.657384 0.546639 3.172773 1.191069 0.737138 -0.033893 0.693478 0.719680 0.967687 -0.157259 0.197107 -0.249865 -0.703106 0.665740 
1.205925 0.915460 0.099550 -0.241709 0.649923 0.720539 0.602312 -0.481701 0.636541 -0.760787 -0.587847 0.275025 1.118414 0.983993 0.133878 0.107354 -0.008585 0.994184 -0.590508 0.803928 0.070706 -0.799859 -0.594665 0.081235 
0.525350 0.167948 -0.716048 -0.658215 0.542049 0.522432 0.650668 0.758661 0.032633 0.378660 -0.361409 0.852056 0.525350 0.167948 -0.716048 -0.658215 0.542049 0.522432 0.650668 0.758661 0.032633 0.378660 -0.361409 0.852056 
0.725069 -0.058998 -0.329849 -0.743005 -0.650145 0.158918 0.406354 -0.249540 0.878980 -0.531808 0.717664 0.449598 0.725069 -0.058998 -0.329849 -0.743005 -0.650145 0.158918 0.406354 -0.249540 0.878980 -0.531808 0.717664 0.449598 
1.032605 0.629267 -0.488241 -0.178455 0.613886 0.768959 0.712225 -0.458617 0.531418 -0.678888 -0.642506 0.355383 1.032605 0.629267 -0.488241 -0.178455 0.613886 0.768959 0.712225 -0.458617 0.531418 -0.678888 -0.642506 0.355383 
0.343396 0.141232 -0.439221 -0.464613 0.638771 0.613276 -0.184618 -0.747220 0.638418 0.866055 0.183395 0.465097 0.343396 0.141232 -0.439221 -0.464613 0.638771 0.613276 -0.184618 -0.747220 0.638418 0.866055 0.183395 0.465097 
1.019500 0.545565 -0.437375 -0.502013 -0.522754 0.688993 0.844066 -0.122499 0.522060 -0.188507 0.843636 0.502735 0.838555 0.482204 -0.429730 -0.396257 -0.623047 0.674383 0.828451 0.073999 0.555152 -0.395789 0.778676 0.486841 
0.940956 -0.060608 -0.287201 0.906868 -0.241961 0.345029 0.168753 0.958737 0.228792 -0.386150 -0.149260 0.910280 1.151005 -0.019882 -0.278048 0.877111 -0.305029 0.370990 0.298847 0.951301 0.075616 -0.375988 0.044545 0.925553 
0.761419 0.020580 -0.166485 0.749850 -0.065687 0.658339 -0.153852 -0.985093 0.076948 -0.643471 0.158986 0.748778 0.761419 0.020580 -0.166485 0.749850 -0.065687 0.658339 -0.153852 -0.985093 0.076948 -0.643471 0.158986 0.748778 
0.757355 0.374229 -0.544991 0.762448 0.607121 0.223779 0.324701 -0.658147 0.679273 -0.559680 0.445249 0.698936 0.697008 0.356794 -0.648495 0.749340 0.658182 0.072700 0.402822 -0.540223 0.738846 -0.525570 0.524362 0.669941 
0.992600 0.636605 0.366752 0.867572 -0.469422 0.164200 0.013950 0.353016 0.935513 -0.497116 -0.809335 0.312815 0.992600 0.636605 0.366752 0.867572 -0.469422 0.164200 0.013950 0.353016 0.935513 -0.497116 -0.809335 0.312815 
0.343396 0.141232 -0.439221 -0.464613 0.638771 0.613276 -0.184618 -0.747220 0.638418 0.866055 0.183395 0.465097 0.343396 0.141232 -0.439221 -0.464613 0.638771 0.613276 -0.184618 -0.747220 0.638418 0.866055 0.183395 0.465097 
0.725069 -0.058998 -0.329849 -0.743005 -0.650145 0.158918 0.406354 -0.249540 0.878980 -0.531808 0.717664 0.449598 0.725069 -0.058998 -0.329849 -0.743005 -0.650145 0.158918 0.406354 -0.249540 0.878980 -0.531808 0.717664 0.449598 
0.554729 0.337347 -0.445656 -0.353925 -0.582252 0.731929 0.882444 0.051406 0.467600 -0.309887 0.811382 0.495611 0.554729 0.337347 -0.445656 -0.353925 -0.582252 0.731929 0.882444 0.051406 0.467600 -0.309887 0.811382 0.495611 
5.879567 4.778148 1.006948 -0.675831 0.679600 0.285300 -0.588762 -0.730636 0.345731 0.443409 0.065681 0.893909 4.346104 3.416976 -0.140260 -0.531595 0.845170 0.055618 -0.833039 -0.533578 0.146082 0.153141 0.031325 0.987708 
1.796514 0.365616 -0.691133 -0.053205 -0.598695 0.799208 0.087208 0.794498 0.600973 -0.994768 0.101672 0.009940 1.796514 0.365616 -0.691133 -0.053205 -0.598695 0.799208 0.087208 0.794498 0.600973 -0.994768 0.101672 0.009940 
5.066206 3.809005 -1.832565 -0.304275 -0.289903 0.907399 0.945800 -0.205427 0.251520 0.113488 0.934749 0.336697 5.066206 3.809005 -1.832565 -0.304275 -0.289903 0.907399 0.945800 -0.205427 0.251520 0.113488 0.934749 0.336697 
0.526343 0.193001 -0.185389 -0.165014 -0.976694 0.137259 -0.922524 0.202071 0.328811 0.348884 0.072366 0.934368 0.526343 0.193001 -0.185389 -0.165014 -0.976694 0.137259 -0.922524 0.202071 0.328811 0.348884 0.072366 0.934368 
3.149833 1.802162 0.250830 0.313872 0.909564 0.272356 -0.762498 0.070545 0.643134 0.565758 -0.409532 0.715682 3.201953 2.078622 1.210898 0.247245 0.939200 0.238270 -0.845919 0.089301 0.525781 0.472536 -0.331554 0.816567 
0.558085 0.400028 0.035886 0.175658 -0.962247 0.207905 -0.120682 0.188548 0.974621 0.977026 0.196290 0.083005 0.519020 0.349892 -0.121145 0.146239 -0.975185 0.166218 -0.167316 0.141222 0.975736 0.974997 0.170502 0.142512 
0.177550 -0.073013 -0.119432 -0.884548 0.018720 0.466073 0.449065 0.304419 0.840041 0.126156 -0.952354 0.277680 0.177550 -0.073013 -0.119432 -0.884548 0.018720 0.466073 0.449065 0.304419 0.840041 0.126156 -0.952354 0.277680 
0.754554 -0.157225 -0.382703 0.386298 0.345568 0.855194 -0.803646 -0.328943 0.495934 0.452689 -0.878851 0.150644 0.638188 -0.207963 -0.332820 0.450816 0.342413 0.824329 -0.679617 0.730382 0.068285 -0.578694 -0.591012 0.561978 
0.880810 -0.007807 -0.682635 0.217427 0.975945 0.016057 -0.745752 0.155485 0.647826 0.629745 -0.152829 0.761619 0.796882 -0.088369 -0.697526 0.195435 0.980669 0.009662 -0.764877 0.146249 0.627355 0.613814 -0.129997 0.778674 
0.835892 0.303246 -0.049184 0.121952 0.786285 0.605709 -0.236192 -0.569743 0.787151 0.964023 -0.239058 0.116233 0.835892 0.303246 -0.049184 0.121952 0.786285 0.605709 -0.236192 -0.569743 0.787151 0.964023 -0.239058 0.116233 
2.222194 1.461248 0.527651 0.590687 -0.795163 0.137128 -0.433991 -0.169809 0.884769 0.680251 0.582134 0.445398 2.537733 1.808480 0.192073 0.581890 -0.791253 0.187944 -0.552389 -0.214923 0.805403 0.596884 0.572474 0.562141 
3.071901 1.634023 0.317206 -0.949989 0.147893 0.275041 0.211389 -0.343734 0.914965 0.229858 0.927348 0.295281 3.071901 1.634023 0.317206 -0.949989 0.147893 0.275041 0.211389 -0.343734 0.914965 0.229858 0.927348 0.295281 
2.803693 1.949311 0.057265 -0.049645 -0.725336 0.686602 -0.662057 0.538614 0.521129 0.747808 0.428698 0.506953 2.803693 1.949311 0.057265 -0.049645 -0.725336 0.686602 -0.662057 0.538614 0.521129 0.747808 0.428698 0.506953 
0.290938 -0.101067 -0.333219 -0.845154 -0.298169 0.443633 0.448486 -0.847119 0.285044 0.290818 0.439869 0.849670 0.290938 -0.101067 -0.333219 -0.845154 -0.298169 0.443633 0.448486 -0.847119 0.285044 0.290818 0.439869 0.849670 
0.495391 0.331407 -0.262685 0.003226 -0.995579 0.093871 0.330692 0.089652 0.939471 -0.943733 0.028011 0.329520 0.495391 0.331407 -0.262685 0.003226 -0.995579 0.093871 0.330692 0.089652 0.939471 -0.943733 0.028011 0.329520 
1.205080 1.112601 0.492608 0.235544 0.664066 0.709603 0.822029 -0.525633 0.219040 -0.518448 -0.531720 0.669690 1.137452 1.061383 0.641651 -0.309629 0.901023 0.303790 0.748696 0.034070 0.662038 -0.586161 -0.432432 0.685141 
1.579529 1.112124 0.695778 0.126020 -0.923464 0.362398 -0.142601 0.344654 0.927836 0.981725 0.168604 0.088253 1.350660 0.890277 0.214698 0.061597 -0.961168 0.269003 -0.018190 0.268389 0.963139 0.997935 0.064219 0.000952 
0.352843 -0.000965 -0.120920 0.987257 0.087715 0.132780 -0.157041 0.402052 0.902049 0.025739 -0.911406 0.410703 0.354436 -0.021674 -0.161285 0.978199 0.138915 0.154365 -0.201123 0.448580 0.870819 0.051725 -0.882881 0.466740 
1.481035 0.584926 -0.241499 0.884437 -0.358571 0.298661 -0.460470 -0.566677 0.683260 0.075753 0.741825 0.666301 1.366804 0.551128 -0.394684 0.905558 -0.302943 0.296967 -0.423503 -0.604849 0.674391 0.024682 0.736467 0.676023 
3.245507 2.535077 1.974672 -0.480579 -0.630585 0.609431 -0.773417 0.632341 0.044397 0.413364 0.450008 0.791595 2.711639 2.241035 1.918540 -0.493601 -0.775282 0.394075 -0.753363 0.607554 0.251640 0.434514 0.172672 0.883958 
1.079813 0.152876 -0.559623 -0.754046 0.635618 0.165539 0.656267 0.739440 0.150138 0.026976 -0.221849 0.974708 0.750183 0.079217 -0.502440 -0.754461 0.603124 0.258900 0.642688 0.758907 0.104936 0.133192 -0.245562 0.960187 
1.487819 1.095742 -0.663106 0.379836 -0.839941 0.387586 0.380023 0.523684 0.762455 -0.843390 -0.142316 0.518111 1.094080 0.597340 -0.260306 0.502568 -0.707670 0.496617 0.383820 0.697352 0.605295 -0.774666 -0.113590 0.622085 
1.762056 0.506734 0.021692 -0.888184 -0.367915 0.275258 0.361070 -0.188354 0.913319 -0.284178 0.910583 0.300137 1.754142 0.520706 -0.060644 -0.890602 -0.343272 0.298315 0.375382 -0.184556 0.908310 -0.256741 0.920925 0.293224 
1.972701 1.629390 0.492741 0.989945 0.137119 0.034759 -0.134168 0.832294 0.537853 0.044820 -0.537108 0.842322 1.972701 1.629390 0.492741 0.989945 0.137119 0.034759 -0.134168 0.832294 0.537853 0.044820 -0.537108 0.842322 
0.498932 -0.108153 -0.429932 -0.902827 0.384793 0.191929 -0.353600 -0.918338 0.177828 0.244683 0.092682 0.965163 0.533556 -0.076360 -0.430535 -0.896030 0.402008 0.188466 -0.376117 -0.912837 0.158947 0.235937 0.071536 0.969132 
0.533556 -0.076360 -0.430535 -0.896030 0.402008 0.188466 -0.376117 -0.912837 0.158947 0.235937 0.071536 0.969132 0.498932 -0.108153 -0.429932 -0.902827 0.384793 0.191929 -0.353600 -0.918338 0.177828 0.244683 0.092682 0.965163 
7.379068 5.198373 3.184143 0.209619 -0.933504 0.290912 -0.119779 0.270765 0.955164 0.970419 0.235065 0.055057 6.925384 3.973625 3.496793 0.220926 -0.970821 0.093266 0.194349 0.137534 0.971243 -0.955730 -0.196447 0.219063 
2.160166 1.690793 1.200483 -0.608319 0.351294 0.711717 0.689454 -0.210346 0.693114 -0.393194 -0.912330 0.114244 2.119760 1.909186 1.352646 -0.617348 0.213098 0.757278 0.756150 -0.104875 0.645940 -0.217068 -0.971386 0.096390 
2.803693 1.949311 0.057265 -0.049645 -0.725336 0.686602 -0.662057 0.538614 0.521129 0.747808 0.428698 0.506953 2.803693 1.949311 0.057265 -0.049645 -0.725336 0.686602 -0.662057 0.538614 0.521129 0.747808 0.428698 0.506953 
0.495391 0.331407 -0.262685 0.003226 -0.995579 0.093871 0.330692 0.089652 0.939471 -0.943733 0.028011 0.329520 0.495391 0.331407 -0.262685 0.003226 -0.995579 0.093871 0.330692 0.089652 0.939471 -0.943733 0.028011 0.329520 
0.325818 0.053858 -0.207216 0.536882 -0.011850 0.843574 -0.841472 0.064400 0.536449 -0.060683 -0.997854 0.024604 0.343625 0.089094 -0.266545 0.466400 0.083481 0.880626 -0.883401 0.095218 0.458843 -0.045547 -0.991950 0.118157 
1.694792 1.209766 0.624368 0.239389 -0.878393 0.413664 -0.403756 0.297404 0.865177 0.882991 0.374134 0.283462 1.833927 1.412099 0.644281 0.329573 -0.903738 0.273203 -0.530040 0.062357 0.845677 0.781306 0.423520 0.458466 
1.350660 0.890277 0.214698 0.061597 -0.961168 0.269003 -0.018190 0.268389 0.963139 0.997935 0.064219 0.000952 1.579529 1.112124 0.695778 0.126020 -0.923464 0.362398 -0.142601 0.344654 0.927836 0.981725 0.168604 0.088253 
0.963936 0.500153 -0.410559 -0.892327 0.095450 0.441182 0.432162 -0.101571 0.896058 0.130340 0.990239 0.049385 0.963936 0.500153 -0.410559 -0.892327 0.095450 0.441182 0.432162 -0.101571 0.896058 0.130340 0.990239 0.049385 
1.094080 0.597340 -0.260306 0.502568 -0.707670 0.496617 0.383820 0.697352 0.605295 -0.774666 -0.113590 0.622085 1.487819 1.095742 -0.663106 0.379836 -0.839941 0.387586 0.380023 0.523684 0.762455 -0.843390 -0.142316 0.518111 
0.535919 0.415820 -0.219250 0.292779 -0.932870 0.209841 -0.051646 0.203709 0.977668 -0.954784 -0.297079 0.011463 0.517963 0.346363 -0.181501 -0.250378 0.949778 0.187703 0.048742 -0.181267 0.982225 -0.966920 -0.255077 0.000909 
0.477228 0.209109 -0.137897 0.002220 -0.467757 0.883855 0.982904 0.163742 0.084187 -0.184103 0.868558 0.460124 0.477228 0.209109 -0.137897 0.002220 -0.467757 0.883855 0.982904 0.163742 0.084187 -0.184103 0.868558 0.460124 
0.535171 0.125604 -0.305346 0.183305 0.835304 0.518331 0.266307 -0.549743 0.791747 -0.946298 0.007096 0.323218 0.470908 0.125499 -0.208433 0.183745 0.767549 0.614090 0.228766 -0.640964 0.732688 -0.955983 -0.005855 0.293363 
0.589959 0.321000 0.187143 0.290666 0.114719 0.949922 -0.882482 0.415823 0.219812 -0.369783 -0.902181 0.222103 0.520953 0.280085 0.026375 0.230186 0.075130 0.970242 -0.204260 -0.971075 0.123654 -0.951469 0.226645 0.208182 
2.493180 2.090395 1.136595 0.058000 -0.063271 0.996310 -0.782545 0.616802 0.084726 0.619887 0.784571 0.013738 2.432621 2.138702 1.072217 -0.017447 0.023520 0.999571 0.845701 -0.532958 0.027302 -0.533372 -0.845815 0.010593 
10.500735 7.639304 4.738680 0.599119 -0.650620 0.466637 0.324074 0.729996 0.601732 -0.732142 -0.209284 0.648204 11.421581 9.465560 5.762155 0.441784 -0.834315 0.329766 0.419249 0.516978 0.746301 -0.793131 -0.191450 0.578178 
1.072544 -0.268291 -0.650864 -0.710095 0.195406 0.676448 0.616680 0.636255 0.463557 0.339812 -0.746321 0.572304 1.036171 -0.335942 -0.574172 -0.765967 0.150849 0.624931 0.529393 0.699521 0.480014 0.364743 -0.698509 0.615669 
3.816522 2.773693 1.532309 -0.865799 0.464510 0.186073 0.232725 0.044604 0.971519 -0.442980 -0.884444 0.146721 4.169483 3.225386 1.587345 -0.820793 0.433503 0.371987 0.427665 0.034646 0.903273 -0.378684 -0.900486 0.213831 
0.956548 0.132116 -0.565858 -0.178244 -0.979230 0.096628 -0.614037 0.187426 0.766701 0.768887 -0.077327 0.634691 0.959044 0.156315 -0.603168 -0.106360 -0.994286 0.009065 -0.636965 0.075131 0.767223 0.763520 -0.075828 0.641316 
1.967564 1.575917 -0.181789 0.472984 0.130785 0.871310 -0.561979 0.806422 0.184020 -0.678576 -0.576696 0.454923 1.982721 1.725507 -0.538832 0.412503 0.036854 0.910210 -0.614773 0.748599 0.248302 -0.672231 -0.661998 0.331456 
8.978380 4.469573 -0.114225 -0.255812 0.028654 0.966302 0.966405 0.033368 0.254850 0.024941 -0.999032 0.036227 9.292180 5.544860 -1.985539 -0.294049 0.011644 0.955720 0.949569 0.117460 0.290725 0.108873 -0.993009 0.045596 
0.692098 0.073243 -0.056209 -0.943518 -0.240590 0.227793 0.205149 0.115650 0.971874 0.260167 -0.963712 0.059761 0.731502 0.218822 -0.051881 -0.915307 -0.329191 0.232049 0.318112 -0.237529 0.917815 -0.247018 0.913900 0.322131 
2.364476 2.182973 0.706550 -0.430675 -0.572698 0.697522 -0.246602 0.818134 0.519465 0.868163 -0.051710 0.493578 3.193036 2.719903 1.521067 -0.066370 -0.866704 0.494387 -0.222183 0.495877 0.839488 0.972743 0.054127 0.225479 
11.421581 9.465560 5.762155 0.441784 -0.834315 0.329766 0.419249 0.516978 0.746301 -0.793131 -0.191450 0.578178 9.967550 9.620416 5.584870 -0.162459 0.929468 0.331205 0.658533 -0.147835 0.737888 -0.734807 -0.337986 0.588068 
0.513750 0.204240 -0.351669 0.626343 0.724451 0.287865 0.619076 -0.686668 0.381094 -0.473751 0.060485 0.878579 0.513750 0.204240 -0.351669 0.626343 0.724451 0.287865 0.619076 -0.686668 0.381094 -0.473751 0.060485 0.878579 
4.319518 3.410198 0.934743 0.386799 -0.921353 0.038660 -0.920901 -0.383736 0.068475 0.048254 0.062088 0.996903 3.957653 3.222897 0.771558 -0.366098 0.930468 0.014224 0.922764 0.361006 0.134841 -0.120330 -0.062491 0.990765 
0.498482 0.222510 -0.079486 -0.365446 0.913660 0.177974 0.842485 0.243356 0.480622 -0.395814 -0.325582 0.858678 0.498482 0.222510 -0.079486 -0.365446 0.913660 0.177974 0.842485 0.243356 0.480622 -0.395814 -0.325582 0.858678 
5.636822 5.100834 2.209767 0.381391 -0.720006 0.579769 -0.495264 0.370416 0.785815 0.780547 0.586842 0.215319 5.636822 5.100834 2.209767 0.381391 -0.720006 0.579769 -0.495264 0.370416 0.785815 0.780547 0.586842 0.215319 
1.561857 0.824135 0.545627 -0.482943 -0.154699 0.861878 0.704052 -0.653834 0.277150 0.520650 0.740655 0.424681 1.422198 1.007040 0.383622 -0.530904 -0.154309 0.833265 0.666708 -0.683021 0.298298 0.523107 0.713912 0.465498 
1.775761 0.942400 -0.063280 -0.767564 0.140512 0.625381 0.526331 -0.418670 0.740062 0.365816 0.897202 0.247400 1.876397 0.898798 0.047765 -0.809751 0.192702 0.554229 0.468751 -0.355711 0.808543 0.352953 0.914514 0.197708 
0.397665 -0.021889 -0.239747 -0.948858 0.308701 0.066128 -0.038630 -0.321415 0.946150 0.313331 0.895207 0.316903 0.429175 -0.056737 -0.266123 0.945935 -0.319866 0.053789 -0.123227 -0.200995 0.971811 0.300038 0.925898 0.229545 
0.205194 -0.051369 -0.230447 0.783952 -0.066969 0.617198 -0.446251 -0.751940 0.485229 -0.431601 0.655821 0.619370 0.222662 -0.005881 -0.248604 0.800223 0.055359 0.597142 -0.347668 -0.768503 0.537150 -0.488642 0.637447 0.595727 
6.046751 5.386628 3.733088 -0.221279 -0.226635 0.948510 0.869661 -0.485964 0.086769 0.441277 0.844082 0.304629 6.046751 5.386628 3.733088 -0.221279 -0.226635 0.948510 0.869661 -0.485964 0.086769 0.441277 0.844082 0.304629 
2.412738 1.325809 1.077005 0.116796 -0.046969 0.992045 -0.852937 0.506969 0.124421 -0.508779 -0.860684 0.019150 2.402930 1.755278 0.974425 -0.273840 0.115839 0.954774 0.854809 -0.425680 0.296814 0.440811 0.897429 0.017548 
5.636822 5.100834 2.209767 0.381391 -0.720006 0.579769 -0.495264 0.370416 0.785815 0.780547 0.586842 0.215319 5.636822 5.100834 2.209767 0.381391 -0.720006 0.579769 -0.495264 0.370416 0.785815 0.780547 0.586842 0.215319 
0.222662 -0.005881 -0.248604 0.800223 0.055359 0.597142 -0.347668 -0.768503 0.537150 -0.488642 0.637447 0.595727 0.205194 -0.051369 -0.230447 0.783952 -0.066969 0.617198 -0.446251 -0.751940 0.485229 -0.431601 0.655821 0.619370 
1.152865 0.330308 0.271212 -0.282991 -0.222744 0.932899 0.780311 -0.619040 0.088899 0.557701 0.753110 0.348992 1.152865 0.330308 0.271212 -0.282991 -0.222744 0.932899 0.780311 -0.619040 0.088899 0.557701 0.753110 0.348992 
