#x1 y1 z1 m1 x2 y2 z2 m2 sigma_h  
#         122
 136.396 205.509   3.042  2.6118e+12 136.406 205.137   2.648  2.8903e+11   50.90
 139.872 164.083 192.490  2.3760e+12 140.195 163.969 192.851  2.2466e+11   48.29
 142.330 180.315 224.313  1.8886e+12 142.606 180.430 224.735  1.6504e+11   57.50
 145.609 125.873  66.792  1.3217e+12 146.024 126.158  66.958  9.8185e+11   44.93
 146.024 126.158  66.958  9.8185e+11 145.609 125.873  66.792  1.3217e+12   44.20
 146.536  36.392  19.171  1.0691e+11 146.275  36.679  19.441  1.3732e+12   43.00
 150.081  35.232  88.837  8.6721e+10 150.095  35.172  88.473  2.6618e+12   55.02
 152.079 181.296  35.468  7.6626e+11 152.279 181.159  35.754  5.3252e+10   41.75
 153.556 135.435  70.176  5.7372e+11 153.919 135.707  70.078  8.2778e+11   48.15
 155.753 122.394 170.997  1.2283e+12 155.564 122.832 171.080  5.0840e+11   63.78
 159.525  38.644  22.410  4.5745e+11 159.712  39.002  22.497  2.1856e+11   48.76
 165.157  69.421 158.595  5.1843e+11 165.462  69.492 158.301  1.4348e+12   45.12
 165.931 187.440 122.212  1.7886e+11 165.453 187.449 122.359  3.6220e+11   31.71
 166.645 211.140  40.822  1.1300e+12 166.982 210.795  41.075  6.6559e+11   40.37
 169.111 219.746   0.534  1.5636e+12 169.505 219.498   0.320  2.3469e+12   53.63
 169.499 167.903  50.039  4.0176e+11 169.602 168.243  50.421  1.2426e+12   64.61
 171.384  90.421  63.921  1.7493e+11 171.244  90.792  64.110  9.6911e+11   44.73
 172.619 148.301  79.211  2.9539e+11 173.073 148.046  79.377  8.8943e+11   43.53
 173.073 148.046  79.377  8.8943e+11 172.619 148.301  79.211  2.9539e+11   39.52
 173.544 111.959 157.400  9.4106e+11 173.820 111.835 157.673  4.6667e+11   66.99
 175.402 143.254  48.218  4.2073e+11 175.211 143.658  48.463  8.1437e+10   61.44
 175.742 171.117 143.771  4.7100e+11 176.026 171.181 143.780  2.3542e+12   55.44
 179.942 230.878  28.949  3.5637e+11 179.915 230.540  29.099  1.8203e+12   52.23
 182.854   7.338  77.450  2.2476e+12 182.772   7.092  77.491  4.5962e+11   65.22
 185.755  69.390 240.909  1.2930e+12 185.381  69.152 241.208  1.5627e+12   59.03
 186.632 205.816  24.240  1.5068e+12 186.734 205.907  24.704  5.8388e+11   42.00
 189.161  83.552 245.071  7.7805e+11 189.080  83.083 245.402  9.7738e+11   51.77
 191.333 204.846 114.256  7.8347e+11 191.228 204.413 114.158  1.7304e+11   49.37
 192.453  45.374 140.872  9.5204e+11 192.042  45.323 141.143  5.0962e+11   37.30
 194.943 175.837 234.546  2.0501e+11 195.256 175.664 234.299  1.3175e+12   55.74
 195.307 172.833 207.302  4.8428e+11 195.373 172.492 207.526  9.4336e+11   65.81
 195.542  74.500 137.740  3.5054e+11 195.926  74.255 137.870  1.4856e+12   64.51
 199.774 160.731 147.862  1.1470e+12 199.666 160.808 148.260  9.3632e+10   43.67
 200.165   4.777 220.625  1.3000e+12 200.615   4.848 220.644  6.3049e+11   67.16
 209.255  40.491  78.313  3.7277e+11 208.956  40.545  78.721  1.1921e+12   62.33
 210.031  73.161 141.803  5.2778e+11 209.932  73.375 141.955  6.1464e+11   61.20
 210.164  18.168  76.958  3.1558e+11 210.068  18.600  76.877  2.5668e+12   50.81
 216.363  54.767 241.245  1.7989e+12 216.422  55.132 241.420  6.2290e+11   69.51
 217.067 112.223  43.051  5.4960e+11 217.092 112.061  43.322  9.7182e+11   45.63
 219.459   8.960  41.821  8.3225e+11 219.557   8.660  41.812  7.4011e+11   52.14
 223.098  99.585  15.837  3.1951e+11 222.888  99.679  16.103  8.9472e+11   61.72
 223.445 113.258 163.875  7.0664e+11 223.243 113.400 163.686  8.2832e+11   69.87
 224.430 151.569  65.056  7.6518e+11 224.523 151.279  65.289  3.6152e+11   63.64
 225.774 101.630  59.916  7.6979e+11 225.520 101.617  60.182  6.0339e+11   45.57
 226.794  65.771  26.891  2.0022e+12 226.808  65.461  27.253  4.2182e+11   57.67
 228.486 181.141  47.556  1.0493e+12 228.490 180.872  47.722  1.0301e+12   54.39
 231.964  65.137  84.826  4.8591e+11 232.147  64.915  84.548  3.0674e+12   62.39
 232.528 203.511 146.829  3.1436e+11 232.959 203.230 146.909  3.3568e+12   56.92
 240.232  79.031 143.085  2.8604e+11 240.531  78.919 143.360  1.3207e+12   47.06
 240.896  54.290  77.111  5.7886e+11 240.613  53.961  76.931  7.0393e+11   68.80
 245.007 219.809 181.338  7.4255e+11 244.871 220.094 181.650  5.8266e+11   48.40
 245.343 123.028  55.460  1.2866e+12 244.788 123.018  55.711  1.4052e+11   67.84
