# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA# lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB
# 122
0.539680 0.340625 0.078625 -0.702184 0.680934 0.208007 0.539680 0.340625 0.078625 -0.702184 0.680934 0.208007 
0.602586 0.367928 0.013682 -0.739068 0.097792 0.666494 0.685199 0.458332 0.109206 -0.645136 0.379170 0.663347 
0.650991 0.052705 -0.233217 0.065953 0.186433 0.980251 0.650991 0.052705 -0.233217 0.065953 0.186433 0.980251 
0.969223 0.753579 0.432463 -0.301348 -0.502578 0.810312 0.969223 0.753579 0.432463 -0.301348 -0.502578 0.810312 
0.430963 0.243732 -0.028491 0.480181 0.525582 0.702275 0.524673 0.404061 0.214337 0.340893 0.524492 0.780192 
0.469277 0.244298 -0.135330 -0.356357 -0.888194 0.290036 0.514532 0.273519 -0.068524 -0.325109 -0.865911 0.380135 
1.394216 1.068623 -0.044829 -0.125423 -0.956950 0.261757 1.394216 1.068623 -0.044829 -0.125423 -0.956950 0.261757 
0.803063 0.692757 0.171406 -0.184861 -0.841816 0.507122 0.803063 0.692757 0.171406 -0.184861 -0.841816 0.507122 
0.528634 0.296795 0.231679 -0.375197 -0.893904 0.245282 0.543226 0.300087 0.223735 -0.123770 -0.979224 0.160630 
0.781688 0.252360 0.021228 0.832521 -0.322189 0.450669 0.781688 0.252360 0.021228 0.832521 -0.322189 0.450669 
0.837503 0.128358 0.021582 0.075405 -0.822266 0.564086 0.837503 0.128358 0.021582 0.075405 -0.822266 0.564086 
0.897269 0.506204 -0.145978 0.218406 0.612916 0.759364 0.897269 0.506204 -0.145978 0.218406 0.612916 0.759364 
0.904862 0.598171 0.376683 0.627232 -0.283468 0.725414 0.904862 0.598171 0.376683 0.627232 -0.283468 0.725414 
0.456686 0.275609 -0.020613 -0.143909 -0.192479 0.970691 0.456686 0.275609 -0.020613 -0.143909 -0.192479 0.970691 
0.633460 0.005895 -0.380018 -0.597266 0.391553 0.699971 0.633460 0.005895 -0.380018 -0.597266 0.391553 0.699971 
0.633460 0.005895 -0.380018 -0.597266 0.391553 0.699971 0.633460 0.005895 -0.380018 -0.597266 0.391553 0.699971 
