# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA# lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB
# 47
0.936941 0.165363 0.018518 0.212123 -0.615350 0.759176 0.937600 0.153498 -0.066795 0.210180 -0.560184 0.801260 
1.009439 0.281144 -0.109417 -0.937621 0.325594 0.121882 1.009439 0.281144 -0.109417 -0.937621 0.325594 0.121882 
2.217131 0.306290 -0.355117 0.664031 -0.173488 0.727299 2.217131 0.306290 -0.355117 0.664031 -0.173488 0.727299 
0.522041 0.290106 -0.007255 0.091470 -0.797841 0.595888 0.522041 0.290106 -0.007255 0.091470 -0.797841 0.595888 
0.691618 0.311634 0.229902 0.839148 -0.397528 0.371218 0.691618 0.311634 0.229902 0.839148 -0.397528 0.371218 
0.612501 0.306661 -0.042876 -0.068410 -0.709876 0.700996 0.737239 0.519049 -0.015214 -0.080928 -0.709304 0.700241 
0.589959 0.321000 0.187143 0.290666 0.114719 0.949922 0.520953 0.280085 0.026375 0.230186 0.075130 0.970242 
0.681450 0.054805 -0.177509 0.364287 0.586470 0.723428 0.703395 0.059328 -0.127210 0.192584 0.606131 0.771697 
0.528559 0.098924 -0.106326 0.659166 0.242935 0.711676 0.528559 0.098924 -0.106326 0.659166 0.242935 0.711676 
0.764118 0.594094 0.011847 0.478997 -0.324622 0.815587 0.634013 0.430946 0.130988 0.355337 -0.652813 0.669007 
0.840947 0.257246 -0.038250 -0.375246 -0.046214 0.925772 0.840947 0.257246 -0.038250 -0.375246 -0.046214 0.925772 
0.840947 0.257246 -0.038250 -0.375246 -0.046214 0.925772 0.840947 0.257246 -0.038250 -0.375246 -0.046214 0.925772 
0.656566 0.322244 -0.172693 0.132132 -0.467435 0.874097 0.799876 0.340936 -0.176720 0.073484 -0.522216 0.849642 
0.912526 0.311013 0.118569 0.319413 -0.909895 0.264701 0.912526 0.311013 0.118569 0.319413 -0.909895 0.264701 
0.780936 0.419667 0.019528 -0.004488 -0.688333 0.725381 0.790766 0.490605 0.045842 0.043884 -0.550348 0.833781 
0.790766 0.490605 0.045842 0.043884 -0.550348 0.833781 0.780936 0.419667 0.019528 -0.004488 -0.688333 0.725381 
1.016081 0.475640 0.006335 -0.697036 -0.675531 0.240415 1.039902 0.497559 0.156216 -0.652067 -0.749714 0.112859 
1.187326 0.861742 0.602362 -0.384842 0.608355 0.694119 1.187326 0.861742 0.602362 -0.384842 0.608355 0.694119 
0.962128 0.550680 0.035690 -0.381686 -0.418949 0.823891 0.810997 0.459795 0.032419 -0.555167 -0.251810 0.792705 
0.800124 0.371315 0.260294 -0.795237 -0.048797 0.604332 0.708376 0.436078 0.289204 -0.746968 0.022541 0.664478 
0.564162 0.139200 -0.033013 -0.792195 -0.309605 0.525901 0.564162 0.139200 -0.033013 -0.792195 -0.309605 0.525901 
